Rank     Team                            W-L-T    Rating
326        Central Missouri                3-2-0    21.1902
327        Holy Cross                      3-3-0    21.1768
328        Pittsburg St                    5-1-0    21.0053
329        Minnesota-Duluth                6-1-0    20.9173
330        Tennessee-Martin                5-1-0    20.8782
331        South Alabama                   2-4-0    20.7629
332        Sacred Heart                    5-2-0    20.741
333        Drake                           5-1-0    20.7086
334        Chattanooga                     3-2-0    20.5724
335        Midwestern St                   4-1-0    20.3084
336        Missouri St                     2-4-0    20.1933
337        San Diego St                    0-1-0    20.1697
338        Florida A&M                     0-1-0    20.1697
339        Yale                            3-1-0    20.1591
340        Kentucky                        0-4-0    20.1513
341        Dartmouth                       2-2-0    20.1045
342        Faulkner                        4-1-0    20.0795
343        Charleston Southern             4-1-0    19.9435
344        Central Missouri                3-2-0    19.898
345        Colorado St-Pueblo              6-0-0    19.8342
346        Grand View                      7-0-0    19.8199
347        Cal Poly SLO                    3-3-0    19.7198
348        Purdue                          0-2-0    19.655
349        San Diego St                    4-1-0    19.6541
350        Louisiana-Monroe                0-2-0    19.5677
351        San Diego                       5-1-0    19.5621
352        Emporia St                      5-1-0    19.3518
353        Bethel MN                       7-1-0    19.3495
354        Abilene Christian               4-0-0    19.2863
355        Chattanooga                     0-1-0    19.2837
356        Arkansas                        0-1-0    19.2837
357        Hawai`i                         1-5-0    19.2356
358        Middle Tennessee St             0-1-0    19.2039
359        Emporia St                      4-1-0    19.1827
360        Bethune-Cookman                 5-1-0    19.1573
361        Tarleton St                     3-1-0    19.0883
362        Miles                           3-0-0    19.0022
363        St Cloud St                     6-1-0    18.896
364        Rutgers                         5-3-0    18.8934
365        Portland St                     4-2-0    18.8799
366        Brown                           3-2-0    18.8618
367        Indiana                         0-3-0    18.8363
368        Rowan                           5-0-0    18.7983
369        Cincinnati                      4-3-0    18.791
370        Saginaw Valley St               4-2-0    18.7162
371        Cumberlands KY                  8-1-0    18.697
372        UW-Oshkosh                      5-0-0    18.4921
373        Illinois                        1-3-0    18.4432
374        Liberty                         2-3-0    18.3335
375        Central Arkansas                3-3-0    18.3232
376        California                      0-5-0    18.268
377        Lamar                           4-2-0    18.2172
378        Wyoming                         4-2-0    18.1079
379        Shaw                            3-1-0    18.0666
380        Kentucky                        0-1-0    18.0376
381        Valdosta St                     3-1-0    18.0198
382        Angelo St                       2-1-0    17.9741
383        SMU                             2-3-0    17.9729
384        Duquesne                        5-0-0    17.8953
385        California PA                   4-1-0    17.8695
386        Indiana PA                      5-1-0    17.7548
387        Bethune-Cookman                 5-1-0    17.7477
388        Ferris St                       4-1-0    17.7072
389        Alabama St                      5-2-0    17.5681
390        South Carolina St               5-2-0    17.5308
391        UW-Whitewater                   9-0-0    17.5053
392        Missouri Southern               4-1-0    17.499
393        Winston-Salem St                3-1-0    17.4449
394        Miami FL                        0-1-0    17.4166
395        New Mexico                      2-4-0    17.4057
396        Lafayette                       3-3-0    17.3978
397        Massachusetts                   0-1-0    17.2426
398        Arkansas                        0-4-0    17.2331
399        Southern Utah                   5-3-0    17.2006
400        Delaware                        5-2-0    17.1835
401        Heidelberg                      4-0-0    17.1135
402        Hampton                         3-2-0    17.0318
403        William & Mary                  2-4-0    16.9636
404        Missouri Western                3-3-0    16.9564
405        New Mexico St                   0-1-0    16.8359
406        Thomas More                     4-0-0    16.8181
407        Nicholls St                     3-2-0    16.7115
408        Memphis                         2-5-0    16.6759
409        Iowa St                         0-2-0    16.6575
410        Kentucky                        0-2-0    16.6387
411        Tulsa                           2-2-0    16.5317
412        Colorado St                     0-2-0    16.5203
413        Purdue                          1-4-0    16.4751
414        Cornell                         2-3-0    16.4318
415        Portland St                     2-3-0    16.4152
416        UW-Stevens Point                0-1-0    16.4055
417        Austin Peay                     0-1-0    16.3646
418        Colorado                        0-4-0    16.3355
419        Newberry                        6-0-0    16.3094
420        Middle Tennessee St             3-2-0    16.3062
421        Washington and Lee              4-0-0    16.2745
422        Lamar                           0-2-0    16.2606
423        Western Illinois                3-3-0    16.2524
424        Nevada                          0-5-0    16.1653
425        Youngstown St                   3-2-0    16.1596
426        The Citadel                     2-3-0    15.8948
427        Stony Brook                     2-3-0    15.8348
428        Troy                            2-4-0    15.7296
429        Carson-Newman                   5-1-0    15.6138
430        Boston College                  0-1-0    15.598
431        Minnesota                       0-1-0    15.4801
432        Maryland                        0-1-0    15.3823
433        Tennessee                       0-1-0    15.2997
434        Montana St                      3-3-0    15.2687
435        Mount Union                     10-1-0    15.2512
436        South Dakota                    3-3-0    15.224
437        Lenoir-Rhyne                    5-0-0    15.1877
438        UNC-Pembroke                    4-1-0    15.1866
439        Southern Utah                   3-1-0    15.154
440        Miami OH                        0-1-0    15.1515
441        Butler                          5-1-0    15.1398
442        Indianapolis                    6-1-0    15.0897
443        Texas Lutheran                  3-0-0    15.0304
444        Stephen F. Austin               3-2-0    15.006
445        St Thomas                       4-1-0    14.9571
446        Northern Iowa                   0-1-0    14.9079
447        Memphis                         1-4-0    14.8881
448        Wofford                         3-2-0    14.8214
449        Missouri Southern               3-1-0    14.8171
450        Richmond                        2-4-0    14.7972
451        Morningside                     6-0-0    14.7877
452        Linfield                        5-1-0    14.6977
453        Western New Mexico              3-1-0    14.5753
454        Urbana                          5-0-0    14.5646
455        Kent St                         2-3-0    14.4661
456        Fort Hays St                    4-2-0    14.4566
457        Henderson St                    5-0-0    14.4267
458        Air Force                       2-5-0    14.3692
459        Bloomsburg                      5-2-0    14.0158
460        Robert Morris PA                3-0-0    14.0054
461        Colorado Mines                  3-2-0    13.9654
462        Tennessee Tech                  2-3-0    13.9319
