Rank     Team                            W-L-T    Schedule Factor
272        Florida St                      6-2-0    31.1204
273        Toledo                          4-2-0    31.0725
274        TCU                             7-1-0    30.7771
275        Western Kentucky                3-3-0    30.5218
276        North Texas                     4-2-0    30.4896
277        Western Oregon                  0-2-0    30.4156
278        East Carolina                   3-3-0    30.3904
279        Hawai`i                         2-4-0    30.1026
280        Clemson                         2-3-0    30.0786
281        Idaho                           1-5-0    30.0117
282        Buffalo                         0-1-0    29.9886
283        Villanova                       0-1-0    29.9886
284        Illinois                        0-2-0    29.9223
285        Colorado St                     2-4-0    29.8573
286        Syracuse                        1-4-0    29.8366
287        Cincinnati                      5-1-0    29.8119
288        Illinois                        2-1-0    29.752
289        Presbyterian                    0-5-0    29.7409
290        Tulane                          0-2-0    29.6678
291        Alabama St                      0-1-0    29.3542
292        East Carolina                   2-3-0    29.1333
293        Buffalo                         0-1-0    29.0771
294        Virginia                        4-2-0    29.0163
295        Lindenwood                      0-1-0    28.9372
296        Vanderbilt                      1-2-0    28.8326
297        Central Florida                 0-6-0    28.7958
298        Idaho St                        0-1-0    28.7292
299        Miami FL                        4-3-0    28.6706
300        Western Illinois                2-2-0    28.5222
301        Ohio U.                         5-2-0    28.4074
302        Marshall                        3-3-0    28.3996
303        New Mexico St                   0-2-0    28.3861
304        Nevada                          5-2-0    28.3103
305        Florida Atlantic                0-4-0    28.2259
306        Michigan St                     7-1-0    28.2213
307        Louisiana-Monroe                2-4-0    28.1537
308        South Dakota                    0-4-0    27.9932
309        Kentucky                        1-1-0    27.9752
310        UNLV                            0-4-0    27.7932
311        Virginia Tech                   0-1-0    27.7694
312        Navy                            3-3-0    27.712
313        San Jose St                     2-4-0    27.6617
314        Youngstown St                   2-2-0    27.6464
315        Buffalo                         3-2-0    27.5695
316        Louisville                      3-3-0    27.5522
317        Western Carolina                0-1-0    27.4228
318        Rhode Island                    0-6-0    27.3415
319        Fresno St                       2-3-0    27.3184
320        James Madison                   4-4-0    27.3039
321        Cal Poly SLO                    2-4-0    27.2096
322        New Mexico                      1-4-0    27.149
323        Nebraska                        6-1-0    27.132
324        Houston                         7-1-0    27.1115
325        New Mexico St                   2-3-0    27.0382
326        Bucknell                        0-2-0    27.0214
327        Florida St                      3-2-0    26.9852
328        Idaho                           1-2-0    26.8159
329        Western Carolina                0-1-0    26.8001
330        North Texas                     1-4-0    26.7929
331        North Carolina St               7-1-0    26.7496
332        William & Mary                  0-2-0    26.6962
333        Tulane                          1-4-0    26.5811
334        Purdue                          5-2-0    26.4454
335        UC-Davis                        1-4-0    26.3463
336        Western Michigan                5-1-0    26.2846
337        Hawai`i                         4-3-0    26.1734
338        San Diego St                    4-1-0    26.1496
339        Lamar                           0-2-0    26.1078
340        UNC-Pembroke                    0-1-0    26.0606
341        Northern Illinois               6-0-0    26.0439
342        Maine                           5-3-0    25.9989
343        UTEP                            2-4-0    25.986
344        Army                            3-2-0    25.9653
345        Samford                         2-3-0    25.8057
346        Utah St                         3-3-0    25.7758
347        Eastern Washington              4-3-0    25.4518
348        Kent St                         4-1-0    25.3974
349        Georgia Tech                    3-2-0    25.3825
350        Richmond                        1-3-0    25.3057
351        Louisiana Tech                  3-2-0    25.2003
352        Murray St                       0-1-0    25.1948
353        Akron                           0-2-0    25.1707
354        Lincoln MO                      0-2-0    25.063
355        Missouri S and T                0-1-0    25.0546
356        Nicholls St                     0-1-0    25.0358
357        VMI                             0-1-0    25.0092
358        Utah                            4-3-0    24.8446
359        William & Mary                  2-3-0    24.8443
360        Villanova                       0-4-0    24.8372
361        Ohio U.                         5-2-0    24.7536
362        Union KY                        0-1-0    24.6921
363        SMU                             6-1-0    24.6055
364        Malone                          0-1-0    24.5411
365        Elon                            2-3-0    24.5362
366        Marist                          0-1-0    24.5333
367        Wagner                          0-1-0    24.5127
368        Northern Iowa                   4-3-0    24.4962
369        Winona St                       0-2-0    24.473
370        Missouri St                     0-3-0    24.2516
371        Ball St                         3-1-0    24.1844
372        Grambling St                    0-1-0    24.1641
373        Holy Cross                      0-1-0    24.1389
374        Yale                            0-1-0    24.1389
375        Towson                          4-0-0    24.0571
376        New Hampshire                   5-0-0    23.9553
377        Maine                           4-1-0    23.9327
378        Southern Illinois               2-4-0    23.8545
379        Austin Peay                     0-4-0    23.8523
380        Houston                         6-0-0    23.8144
381        St Scholastica                  0-1-0    23.8131
382        St John's MN                    0-1-0    23.8131
383        St Norbert                      0-1-0    23.8131
