Rank     Team                            W-L-T    Schedule Factor
219        Southern Methodist              1-0-0    0.0
220        Pittsburgh                      0-1-0    0.0
221        Texas State                     0-1-0    0.0
222        Goat Island Navy                0-1-0    0.0
223        th Infantry                     0-2-0    0.0
224        Boston College                  0-1-0    0.0
225        Great Lakes Navy                2-0-0    0.0
226        Colorado State                  0-1-0    0.0
227        Presbyterian                    1-0-0    0.0
228        Camp Perry                      0-1-0    0.0
229        Washington                      0-1-0    0.0
230        Notre Dame                      0-0-1    0.0
231        Wichita State                   0-1-0    0.0
232        Texas Christian                 0-1-0    0.0
233        Illinois                        0-2-0    0.0
234        Maryland                        1-1-0    0.0
235        Minnesota                       1-0-0    0.0
236        Howard Payne                    0-1-0    0.0
237        Dartmouth                       3-0-0    0.0
238        North Carolina                  0-2-0    0.0
239        Syracuse                        1-0-0    0.0
240        Johns Hopkins                   0-0-1    0.0
241        Camp Sherman                    0-1-0    0.0
242        Carruthers Field                1-0-0    0.0
243        Oklahoma State                  2-0-0    0.0
244        Vanderbilt                      3-0-0    0.0
245        Erskine                         0-0-1    0.0
246        Fort Lewis                      0-1-0    0.0
247        Norfolk Navy                    0-1-0    0.0
248        Overland Station                0-1-0    0.0
249        Indiana                         0-1-0    0.0
250        Central Oklahoma                0-1-0    0.0
251        Texas A&M                       0-1-0    0.0
252        South Carolina                  1-0-0    0.0
253        Colorado State                  0-1-0    0.0
254        Fort Oglethorpe                 0-1-0    0.0
255        Wisconsin                       1-0-0    0.0
256        Mare Island Marines             4-0-0    0.0
257        Des Moines                      0-1-0    0.0
258        Wisconsin                       1-0-0    0.0
259        Mather Field                    0-1-0    0.0
260        Oklahoma State                  2-0-0    0.0
261        Love Field                      0-1-0    0.0
262        Ohio State                      0-1-0    0.0
263        Virginia Tech                   1-0-0    0.0
264        Vancouver Barracks              0-1-0    0.0
265        Dartmouth                       0-1-0    0.0
266        Mare Island Marines             0-1-0    0.0
267        Idaho                           0-1-0    0.0
268        Auburn                          1-0-0    0.0
269        St. Louis                       0-1-0    0.0
270        Fort Lewis                      1-0-0    0.0
271        Fremont Ammuntion               0-1-0    0.0
272        Navy                            0-1-0    0.0
273        Arkansas                        0-1-0    0.0
274        Washington & Jefferson          1-0-0    0.0
275        Lieutenants                     0-1-0    0.0
276        Brown                           0-1-0    0.0
277        Camp Dodge                      0-0-1    0.0
278        Washington                      1-0-0    0.0
279        Norwich                         0-1-0    0.0
280        Wofford                         0-1-0    0.0
281        Oklahoma                        3-0-0    -0.0
282        Furman                          2-1-0    -0.0
283        Lafayette                       0-3-0    -0.5
284        Purdue                          1-2-0    -0.7879
285        Texas A&M                       2-0-0    -0.8333
286        League Island Navy              1-0-0    -0.8571
287        Notre Dame                      0-1-1    -0.9286
288        Texas Christian                 2-0-0    -1.0
289        Washburn                        0-1-0    -1.0
290        Fort Riley                      0-1-0    -1.0
291        Swarthmore                      1-0-0    -1.0
292        Lafayette                       0-1-0    -1.0
293        Swarthmore                      0-1-0    -1.0
294        St. Joseph's (Pennsylvania)     0-1-0    -1.0
295        USS Minnesota                   0-1-0    -1.0
296        Texas A&M                       3-0-0    -1.0
297        Colorado Mines                  2-0-0    -1.2
298        Southwestern (Texas)            0-1-0    -1.2381
299        Mather Field                    2-0-0    -1.5
300        Chicago                         0-2-0    -1.5909
301        Davidson                        1-0-0    -1.6471
302        Texas Christian                 2-0-0    -2.0
303        Northwestern                    0-1-1    -2.5
304        Lehigh                          2-0-0    -2.75
305        Kansas                          2-0-0    -2.9091
306        Kansas State                    4-0-0    -2.9091
307        Baylor                          0-1-0    -3.0
308        Washington (Missouri)           4-0-0    -3.0833
309        Michigan                        4-0-0    -3.1912
310        Stanford                        0-2-0    -3.3
311        Colorado College                1-1-0    -3.3
312        Missouri-Rolla                  0-2-0    -3.3333
313        Wofford                         0-2-0    -3.6471
314        Wake Forest                     0-2-0    -3.7059
315        California                      1-2-0    -4.2667
316        Pittsburgh                      4-0-0    -4.3
317        Rice                            1-0-0    -4.3333
318        Brown                           1-2-0    -4.4286
319        Chicago Naval Reserve           1-0-0    -4.5
320        Auburn                          0-2-0    -5.0
321        Baker                           0-2-0    -5.0
322        Minnesota                       1-1-1    -5.0245
323        Purdue                          2-0-0    -5.0909
324        Geneva                          1-0-0    -5.8
325        Southwestern (Texas)            0-1-0    -6.0
326        Denver                          1-1-0    -6.3
327        Southern California             1-0-0    -6.4
328        Indiana                         2-0-0    -6.9545
329        Clemson                         1-0-0    -7.0
330        Iowa                            1-0-0    -7.4286
331        Camp Dodge                      1-0-0    -7.4286
332        Brown                           1-0-0    -7.7143
333        Camp Logan                      0-1-1    -8.7381
334        Hoboken Navy                    0-1-0    -8.75
335        Michigan                        1-0-0    -8.75
336        Loyola Academy                  0-1-0    -8.75
337        Clemson                         2-0-0    -8.75
338        Kansas State                    0-1-0    -9.0
339        Mare Island Navy                1-0-0    -9.0
340        Ream Field                      2-2-0    -9.2381
341        Michigan State                  4-0-0    -9.6429
342        Notre Dame                      3-0-0    -9.7576
343        Furman                          1-2-0    -10.0392
344        Colorado Mines                  2-0-0    -12.3333
345        Rutgers                         2-1-0    -12.3578
346        Ursinus                         0-3-0    -12.4167
347        Virginia Tech                   5-0-0    -12.6471
348        Harvard                         1-1-0    -12.8571
349        Wissahickon Barracks            0-0-1    -13.0
350        Ohio State                      3-0-0    -13.1912
351        Camp Pike                       1-0-0    -13.3333
352        Georgia Tech                    3-0-0    -13.6471
353        Rutgers                         2-0-0    -15.5
354        Washington & Lee                1-0-0    -15.6471
355        Wisconsin                       0-1-0    -15.75
356        Minnesota Alumni                0-0-1    -15.75
357        Chicago Naval Reserve           3-0-0    -17.0833
358        League Island Navy              0-1-0    -18.0
359        Franklin & Marshall             0-1-0    -19.75
360        St. Joseph's (Pennsylvania)     0-1-0    -19.75
361        Kelly Field                     1-0-0    -26.2381
362        Camp Logan                      1-0-0    -26.2381
363        Texas                           1-0-0    -26.2381
364        Northwestern                    2-0-0    -26.9545
365        Lafayette                       3-0-0    -30.3578
366        Tufts                           0-1-0    -30.4286
367        Navy                            1-0-0    -35.6912
368        Erskine                         1-0-0    -42.7059
