Rank     Team                            W-L-T    Rating
213        Illinois St                     3-1-0    32.1031
214        Concord                         6-0-0    31.9774
215        Virginia                        1-4-0    31.9572
216        Northern Arizona                4-0-0    31.9038
217        Army                            3-1-0    31.7191
218        Texas A&M                       0-1-0    31.3943
219        Syracuse                        1-7-0    31.3559
220        Hawai`i                         2-5-0    31.169
221        Northern Iowa                   3-3-0    31.1025
222        Western Michigan                3-2-0    31.0251
223        UW-Whitewater                   4-0-0    30.9331
224        Northwestern St                 3-2-0    30.8689
225        Indiana St                      3-2-0    30.8614
226        Southern Miss                   0-1-0    30.8128
227        Fresno St                       3-4-0    30.8026
228        Tennessee                       0-1-0    30.7843
229        Youngstown St                   5-2-0    30.7586
230        Western Michigan                5-2-0    30.5248
231        Fordham                         4-0-0    30.4876
232        Tulsa                           0-1-0    30.3186
233        Fresno St                       3-2-0    30.2116
234        Appalachian St                  4-3-0    29.7901
235        Weber St                        0-1-0    29.5253
236        Missouri St                     2-3-0    29.3879
237        South Dakota St                 3-3-0    29.2798
238        South Alabama                   3-2-0    29.1246
239        Central Michigan                3-2-0    29.097
240        Western Carolina                5-1-0    29.0741
241        Liberty                         4-2-0    28.9583
242        Wyoming                         1-4-0    28.8651
243        Central Florida                 3-3-0    28.8432
244        Iowa St                         1-3-0    28.7869
245        Duquesne                        4-2-0    28.7635
246        McNeese St                      4-1-0    28.7208
247        Southern Oregon                 5-1-0    28.6509
248        Humboldt St                     5-0-0    28.6193
249        Purdue                          2-7-0    28.4619
250        Louisiana-Lafayette             0-1-0    28.2973
251        Temple                          2-3-0    28.286
252        Fordham                         6-1-0    28.2821
253        Toledo                          4-3-0    28.2797
254        Syracuse                        0-1-0    28.2288
255        Indiana                         0-1-0    28.2213
256        William & Mary                  3-1-0    28.2129
257        Miami FL                        1-3-0    28.0975
258        Southern Illinois               4-2-0    28.0518
259        Bethune-Cookman                 5-0-0    27.9629
260        Missouri St                     0-1-0    27.9561
