Rank     Team                            W-L-T    Rating
504        Delaware                        2-3-0    12.3998
505        Alabama A&M                     4-0-0    12.2714
506        Eastern Michigan                0-2-0    12.264
507        Portland St                     4-2-0    12.1928
508        Weber St                        2-4-0    11.9784
509        Alfred                          5-0-0    11.9725
510        South Dakota St                 3-2-0    11.9048
511        UW-Whitewater                   6-0-0    11.8863
512        Northeastern St OK              4-2-0    11.7599
513        Buffalo St                      4-0-0    11.6545
514        Wingate                         3-1-0    11.5831
515        Marist                          0-1-0    11.5333
516        Georgetown KY                   5-0-0    11.4272
517        Illinois                        0-2-0    11.4223
518        Georgia Tech                    0-1-0    11.4084
519        Northwestern IA                 5-0-0    11.3418
520        Midland U.                      3-1-0    11.2963
521        St Cloud St                     4-2-0    11.2648
522        Florida A&M                     4-1-0    11.2392
523        William & Mary                  3-1-0    11.1721
524        Massachusetts                   2-3-0    11.141
525        Mount Ida                       1-0-0    11.0
526        Troy                            0-7-0    10.8493
527        Minn St-Mankato                 4-3-0    10.8237
528        Valdosta St                     3-2-0    10.7403
529        Alabama St                      4-2-0    10.6698
530        Carroll MT                      6-1-0    10.6022
531        Southern Oregon                 4-0-0    10.5432
532        Lafayette                       3-1-0    10.5376
533        Colorado                        0-2-0    10.5258
534        St Augustine's                  4-1-0    10.4453
535        Ohio State                      0-1-0    10.4084
536        Mississippi                     0-2-0    10.2215
537        Rhode Island                    0-6-0    10.1748
538        Delaware Valley                 6-1-0    10.1565
539        Holy Cross                      0-1-0    10.1389
540        SE Missouri St                  3-3-0    10.0751
541        Pittsburgh                      0-1-0    10.0576
542        Georgia St                      0-1-0    10.0458
543        East Carolina                   0-1-0    10.0458
544        Central Michigan                0-1-0    10.0305
545        Hampton                         2-3-0    10.0299
546        Washington and Lee              6-0-0    10.0237
547        Kean                            1-0-0    10.0
548        Miami FL                        1-0-0    10.0
549        Trinity TX                      1-0-0    10.0
550        LSU                             1-0-0    10.0
551        Mayville St                     1-0-0    10.0
552        Auburn                          0-1-0    9.9752
553        Ohio Dominican                  3-2-0    9.9419
554        Buffalo                         0-5-0    9.8795
555        East Central OK                 5-0-0    9.8375
556        Memphis                         1-1-0    9.8219
557        Michigan Tech                   0-1-0    9.7407
558        McNeese St                      4-2-0    9.7102
559        Ohio Dominican                  4-2-0    9.6177
560        North Alabama                   4-1-0    9.5881
561        Boston College                  0-1-0    9.476
562        Hampden-Sydney                  5-0-0    9.4165
563        Delaware St                     2-1-0    9.3716
564        Howard                          3-1-0    9.3148
565        St Francis IL                   4-1-0    9.2982
566        Indiana St                      0-2-0    9.2771
567        Middle Tennessee St             1-3-0    9.2549
568        New Haven                       7-0-0    9.2505
569        Augustana SD                    3-3-0    9.2483
570        MidAmerica Nazarene             4-1-0    9.2027
571        Villanova                       2-3-0    9.1522
572        Elon                            3-3-0    9.1129
573        Trinity TX                      5-1-0    9.0754
574        Furman                          3-3-0    9.056
575        Dayton                          2-3-0    8.9933
576        Austin Peay                     3-2-0    8.8348
577        Henderson St                    4-1-0    8.8198
578        McMurry                         4-0-0    8.8021
579        Mary                            3-3-0    8.7681
580        Nicholls St                     0-2-0    8.7031
581        Middle Tennessee St             0-2-0    8.6799
582        Shorter                         4-2-0    8.6176
583        Findlay                         3-3-0    8.4902
584        The Citadel                     2-3-0    8.4505
585        Cumberland TN                   3-1-0    8.4273
586        Tennessee St                    3-2-0    8.421
587        Memphis                         0-1-0    8.4117
588        Akron                           0-4-0    8.312
589        South Dakota                    0-4-0    8.2432
590        C.W. Post                       4-1-0    8.0931
591        Buffalo                         0-1-0    8.0771
592        Morgan St                       3-1-0    8.0639
593        Indianapolis                    2-3-0    8.0236
594        North Carolina St               0-1-0    7.9297
595        Louisiana-Monroe                0-1-0    7.9297
596        McMurry                         5-2-0    7.9221
597        California PA                   4-1-0    7.8851
598        Wittenberg                      5-0-0    7.7585
599        Rice                            0-2-0    7.6483
600        Texas St-San Marcos             2-4-0    7.6442
601        Tusculum                        3-2-0    7.6391
602        Fort Hays St                    2-3-0    7.5709
603        Morningside                     3-2-0    7.4853
604        Missouri S and T                4-0-0    7.4619
605        North Greenville                5-3-0    7.4497
606        Lamar                           2-1-0    7.418
607        Albion                          3-0-0    7.4152
608        Coe                             3-1-0    7.4104
609        Georgetown DC                   4-3-0    7.3115
610        Lafayette                       1-4-0    7.2727
611        Augustana SD                    3-1-0    7.253
612        Gardner-Webb                    3-1-0    7.2515
613        Hobart                          5-1-0    7.25
614        Texas-San Antonio               4-2-0    7.2378
615        San Diego                       4-1-0    7.2005
616        Tulane                          1-3-0    7.1522
617        Army                            0-7-0    7.1362
618        Princeton                       0-3-0    7.1179
619        Huntingdon AL                   5-0-0    7.117
620        Montclair St                    5-1-0    7.1136
621        Shippensburg                    4-1-0    6.9702
622        St Francis IN                   3-2-0    6.9048
623        Eastern Oregon                  5-1-0    6.8893
624        Hardin-Simmons                  4-1-0    6.8424
625        UNLV                            0-3-0    6.7234
626        West Georgia                    2-1-0    6.7094
627        New Jersey                      5-0-0    6.6389
628        Lindenwood                      3-1-0    6.6247
629        TAMU-Kingsville                 4-2-0    6.6099
630        Northwestern IA                 4-1-0    6.6054
631        North Texas                     1-4-0    6.5929
632        Kean                            5-0-0    6.5686
633        Grambling St                    4-2-0    6.5551
634        UW-Platteville                  4-1-0    6.476
635        Lehigh                          0-1-0    6.4195
636        Redlands                        4-0-0    6.4121
637        Bloomsburg                      5-1-0    6.3899
638        UC-Davis                        1-4-0    6.3463
639        McNeese St                      2-3-0    6.279
640        Cortland St                     5-1-0    6.206
641        Murray St                       0-1-0    6.1948
642        Ohio Northern                   0-1-0    6.1704
643        Dartmouth                       1-3-0    6.0889
644        Butler                          3-2-0    6.0742
645        Marshall                        0-2-0    6.002
646        Missouri Western                0-1-0    5.9999
647        Central Washington              0-1-0    5.9992
648        Baker                           5-1-0    5.9392
649        Benedictine KS                  6-0-0    5.9368
650        South Alabama                   1-3-0    5.9116
651        Adams St                        2-3-0    5.8915
652        Slippery Rock                   5-0-0    5.684
653        Eastern Illinois                1-4-0    5.6795
654        Northwestern St                 2-2-0    5.6404
655        Chattanooga                     0-1-0    5.5841
656        Cal Lutheran                    4-0-0    5.5608
657        St Ambrose                      3-1-0    5.5598
658        St Thomas                       5-0-0    5.5033
659        Abilene Christian               3-2-0    5.4949
660        SMU                             0-3-0    5.494
661        Elizabeth City St               4-1-0    5.4926
662        Davidson                        4-1-0    5.489
663        Bethel MN                       5-0-0    5.4082
664        UNC-Pembroke                    4-1-0    5.389
665        Morehouse                       3-0-0    5.3244
666        Columbia                        1-5-0    5.2646
667        Sacred Heart                    3-2-0    5.235
668        Rowan                           3-0-0    5.2047
669        SE Louisiana St                 0-1-0    5.1632
670        New Mexico                      0-1-0    5.1092
671        Wabash                          7-0-0    5.0549
672        VMI                             2-2-0    5.0453
673        Northern Arizona                1-4-0    5.0397
674        Idaho                           0-3-0    5.0138
675        Elmhurst                        5-1-0    4.9963
676        Langston                        3-0-0    4.954
677        St Olaf                         5-0-0    4.901
678        Elizabeth City St               4-2-0    4.7997
679        William Penn                    6-0-0    4.7082
680        Heidelberg                      4-0-0    4.6574
681        Texas Southern                  4-2-0    4.6476
682        Jackson St                      4-0-0    4.6413
683        Villanova                       0-4-0    4.5872
684        Salisbury                       4-2-0    4.5861
685        Wayne St NE                     3-2-0    4.5456
686        Monmouth IL                     6-1-0    4.5422
687        Marist                          3-2-0    4.4918
688        Lindenwood                      5-1-0    4.3351
689        St Francis PA                   2-3-0    4.3022
690        North Dakota                    3-2-0    4.2806
691        Bloomsburg                      4-1-0    4.2027
