Rank	Team                            W-L-T	Schedule Factor
464		St Olaf                         0-6-0	556
465		Ohio Northern                   0-6-0	642
466		Texas College                   0-6-0	238
467		Southern Virginia               0-6-0	520
468		Coe                             0-6-0	660
469		Rowan                           0-6-0	324
470		Trinity Int'l                   0-6-0	404
471		Missouri Baptist                0-6-0	46
472		Livingstone                     0-6-0	294
473		St John Fisher                  0-6-0	597
474		Capital                         0-6-0	692
475		Johns Hopkins                   0-6-0	480
476		Paine                           0-6-0	300
477		Ursinus                         0-6-0	321
478		Wilkes                          0-6-0	665
479		Juniata                         0-6-0	450
480		Edward Waters                   0-6-0	233
481		Carleton                        0-6-0	511
482		Misericordia                    0-6-0	529
483		Muhlenberg                      0-6-0	664
484		UW-Whitewater                   0-6-0	329
485		St John's MN                    0-6-0	599
486		St Thomas                       0-6-0	604
487		Loras                           0-6-0	503
488		Concordia-Moorhead              0-6-0	476
489		Hardin-Simmons                  0-6-0	696
490		Langston                        0-6-0	498
491		Sul Ross St                     0-6-0	616
492		Kean                            0-6-0	318
493		Graceland                       0-6-0	447
494		Heidelberg                      0-6-0	459
495		Wartburg                        0-6-0	347
496		Cortland St                     0-6-0	375
497		FDU-Florham                     0-6-0	682
498		John Carroll                    0-6-0	478
499		Mount Union                     0-6-0	362
500		New Jersey                      0-6-0	322
501		Howard Payne                    0-6-0	618
502		Grove City                      0-6-0	451
503		Hamline                         0-6-0	526
504		King's PA                       0-6-0	538
505		Union NY                        0-6-0	474
506		Case Western Reserve            0-6-0	382
507		Millsaps                        0-6-0	525
508		Simpson                         0-6-0	472
509		Redlands                        0-6-0	697
510		Lebanon Valley                  0-6-0	438
511		Mary Hardin-Baylor              0-6-0	524
512		Bethany WV                      0-6-0	363
513		St Vincent                      0-6-0	477
514		Webber Int'l                    0-6-0	257
515		Central Methodist               0-6-0	592
516		Hampden-Sydney                  0-6-0	636
517		Randolph-Macon                  0-6-0	479
518		Peru St                         0-6-0	571
519		Concordia MI                    0-6-0	405
520		Geneva                          0-6-0	440
521		Albright                        0-6-0	317
522		Gustavus Adolphus               0-6-0	455
523		Delaware Valley                 0-6-0	536
524		Washington and Lee              0-6-0	351
525		Lycoming                        0-6-0	510
526		Stevenson                       0-6-0	550
527		Thomas More                     0-6-0	647
528		Widener                         0-6-0	323
529		Pacific OR                      0-6-0	569
530		Lewis & Clark                   0-6-0	662
531		Baker                           0-6-0	564
532		Oberlin                         0-6-0	370
533		Luther                          0-6-0	508
534		Texas Lutheran                  0-6-0	617
535		Birmingham-Southern             0-6-0	365
536		Wooster                         0-6-0	640
537		Bacone                          0-6-0	194
538		Missouri Valley                 0-6-0	701
539		Westminster PA                  0-6-0	659
540		Southeastern U.                 0-6-0	428
541		Linfield                        0-6-0	688
542		Sewanee                         0-6-0	417
543		Southwestern TX                 0-6-0	706
544		Benedictine KS                  0-6-0	101
545		Puget Sound                     0-6-0	574
546		Waynesburg                      0-6-0	646
547		Montclair St                    0-6-0	537
548		Allegheny                       0-6-0	337
549		Pomona-Pitzer                   0-6-0	530
550		Thiel                           0-6-0	336
551		George Fox                      0-6-0	444
552		Greensboro                      0-6-0	452
553		MidAmerica Nazarene             0-6-0	698
554		Willamette                      0-6-0	712
555		Kentucky Wesleyan               0-6-0	286
556		North Central                   0-6-0	707
557		Emory & Henry                   0-6-0	429
558		Kenyon                          0-6-0	488
559		Berry                           0-6-0	518
560		Cal Lutheran                    0-6-0	704
561		Chapman                         0-6-0	689
562		Guilford                        0-6-0	453
563		Evangel                         0-6-0	0
564		Whitworth                       0-6-0	663
565		Wash & Jeff                     0-6-0	641
566		Hiram                           0-6-0	658
567		Shenandoah                      0-6-0	674
568		Illinois Wesleyan               0-6-0	469
569		Wayland Baptist                 0-6-0	92
570		Carnegie Mellon                 0-6-0	381
571		Bridgewater VA                  0-6-0	445
572		Culver-Stockton                 0-6-0	407
573		Pacific Lutheran                0-6-0	705
574		Trinity TX                      0-6-0	619
575		Christopher Newport             0-6-0	397
576		Wittenberg                      0-6-0	671
577		Morrisville St                  0-6-0	541
578		Carthage                        0-6-0	380
579		Central IA                      0-6-0	356
580		Ferrum                          0-6-0	430
581		Briar Cliff                     0-6-0	102
582		RPI                             0-6-0	558
583		William Paterson                0-6-0	327
584		Avila                           0-6-0	353
585		Augustana IL                    0-6-0	542
586		Ohio Wesleyan                   0-6-0	366
587		Elmhurst                        0-6-0	502
588		SW Assem of God                 0-6-0	360
589		Wabash                          0-6-0	637
590		Nebraska Wesleyan               0-6-0	612
591		Washington U.                   0-6-0	643
592		Hanover                         0-6-0	387
593		Averett                         0-6-0	352
594		Arizona Christian               0-6-0	1
595		St Lawrence                     0-6-0	398
596		OK Panhandle St                 0-6-0	272
597		WPI                             0-6-0	315
598		Springfield                     0-6-0	326
599		Catholic                        0-6-0	314
600		Kalamazoo                       0-6-0	482
