Rank   Team                            W-L-T     Rating
 252   Morgan St                       6-5-0    10.9916
 253   North Dakota                    4-7-0    10.0111
 254   Grand View                      9-1-0     9.8537
 255   Azusa Pacific                   10-1-0     9.4236
 256   Brown                           4-5-0     9.1677
 257   Indianapolis                    9-2-0     9.1123
 258   California PA                   8-2-0     9.1046
 259   Alabama St                      6-5-0     8.8967
 260   Carson-Newman                   7-3-0     8.8216
 261   Kutztown                        6-5-0     8.5503
 262   Georgetown KY                   8-2-0     8.5237
 263   Towson                          4-7-0     8.3559
 264   Morningside                     9-1-0     8.2154
 265   Assumption                      7-4-0       8.04
 266   Charleston WV                   8-3-0     7.8682
 267   Gardner-Webb                    4-7-0     7.8583
 268   Princeton                       5-4-0     7.8243
 269   Newberry                        5-6-0     7.7609
 270   Mercyhurst                      7-4-0     7.6727
 271   Grambling St                    7-4-0     7.2606
 272   Chadron St                      8-3-0     7.1608
 273   Norfolk St                      4-7-0      6.892
 274   LIU Post                        8-3-0     6.6353
 275   New Haven                       6-5-0     6.4546
 276   Hampton                         3-8-0      6.355
 277   St Xavier                       8-2-0     6.2024
 278   American Int'l                  8-3-0     6.1914
 279   Tuskegee                        9-2-0      6.016
 280   Central Conn St                 2-9-0     5.9939
 281   Central Washington              7-4-0     5.9325
 282   Findlay                         5-6-0     5.5367
 283   Howard                          4-7-0     5.5329
 284   Johns Hopkins                   10-0-0     5.2988
 285   VMI                             2-9-0      5.293
 286   Pennsylvania                    1-8-0      5.279
 287   Southern U.                     8-3-0      5.213
 288   North Greenville                6-5-0     5.0652
 289   Bentley                         5-6-0     4.9439
 290   Georgetown DC                   2-8-0      4.432
 291   Virginia St                     9-2-0     4.3998
 292   Catawba                         6-5-0     4.3824
 293   Marian IN                       8-2-0     4.2997
 294   Prairie View A&M                5-5-0     4.2698
 295   Dayton                          7-3-0     4.2551
 296   Eastern Oregon                  8-3-0     4.0614
 297   Florida A&M                     3-8-0     3.7508
 298   St Thomas                       8-2-0     3.6429
 299   Indiana PA                      6-5-0     3.5402
 300   Campbellsville                  7-3-0     3.4579
 301   San Diego                       9-1-0     3.2903
 302   Hillsdale                       4-7-0     3.1873
 303   Faulkner                        9-2-0     3.0046
 304   St Joseph's IN                  8-3-0     2.9945
 305   Northern Michigan               3-8-0     2.4249
 306   Drake                           6-4-0     2.4105
 307   Western Oregon                  6-5-0      2.074
 308   Northwood                       5-6-0       1.96
 309   Muhlenberg                      9-1-0     1.9382
 310   Widener                         10-0-0     1.9352
 311   Rhode Island                    0-11-0     1.8486
 312   Alabama A&M                     4-7-0     1.5811
 313   Thomas More                     8-2-0     1.5314
 314   St John Fisher                  8-2-0     1.0616
 315   Wingate                         6-5-0     0.4251
 316   Shippensburg                    6-5-0     0.3065
 317   Mars Hill                       4-6-0     0.2809
 318   Stonehill                       5-6-0     0.0165
 319   Wabash                          9-1-0    -0.2879
 320   Montana-Western                 6-5-0    -0.3299
 321   Southern Arkansas               5-5-0    -0.3524
 322   UW-Oshkosh                      6-4-0    -0.4375
 323   UW-Platteville                  7-3-0    -0.5242
 324   East Central OK                 6-4-0    -0.8978
 325   Incarnate Word                  2-9-0    -1.0684
 326   Albany St GA                    7-3-0    -1.1097
 327   Wash & Jeff                     9-1-0    -1.2376
 328   Walsh                           4-7-0    -1.5569
 329   Marist                          4-7-0    -1.8916
 330   East Stroudsburg                6-5-0    -2.2068
 331   New Mexico Highlands            3-8-0    -2.2569
 332   SE Oklahoma St                  7-4-0    -2.3472
 333   Heidelberg                      8-2-0    -2.3907
 334   Adams St                        4-7-0     -2.519
 335   Notre Dame OH                   7-4-0    -2.5666
 336   St John's MN                    9-1-0    -2.6027
 337   Reinhardt                       6-4-0    -2.7247
 338   Alderson-Broaddus               7-4-0     -2.815
 339   Truman St                       6-4-0    -2.9003
 340   Saginaw Valley St               2-9-0    -2.9366
 341   Merrimack                       4-7-0    -2.9852
 342   Tusculum                        5-5-0    -3.0309
 343   Shorter                         3-7-0    -3.2933
 344   Austin Peay                     1-10-0    -3.5781
 345   Wittenberg                      9-1-0    -3.6165
 346   St Anselm                       6-5-0    -3.7575
 347   West Liberty                    6-5-0    -4.0959
 348   Concordia-Moorhead              8-2-0    -4.3843
 349   Colorado Mesa                   6-5-0    -4.5029
 350   Miles                           6-4-0    -4.6568
 351   William Penn                    7-4-0    -4.8978
 352   Chapman                         8-1-0    -4.9732
 353   Rocky Mountain                  5-6-0    -5.1094
 354   Virginia Union                  7-3-0    -5.1223
 355   Delaware St                     2-9-0    -5.1318
 356   Butler                          4-7-0     -5.293
 357   Lake Erie                       4-7-0    -5.3399
 358   Cornell                         1-8-0     -5.536
 359   Bethel MN                       7-3-0    -5.6193
 360   Bowie St                        5-5-0    -5.7449
 361   Glenville St                    5-6-0    -5.7513
 362   Western St CO                   4-7-0    -5.9925
 363   Jackson St                      4-7-0    -6.2773
 364   Missouri Valley                 8-2-0    -6.4644
 365   OK Panhandle St                 7-3-0    -6.5024
 366   Western New Mexico              5-6-0    -6.6978
 367   Redlands                        6-3-0    -7.0037
 368   Campbell                        5-6-0    -7.8339
 369   North Central                   8-2-0    -7.8346
 370   Texas Southern                  5-6-0    -8.0311
 371   Ithaca                          7-3-0     -8.039
 372   St Francis IN                   6-5-0    -8.0393
 373   Delaware Valley                 9-1-0    -8.5683
 374   Buffalo St                      7-3-0    -8.7428
 375   UNC-Pembroke                    2-8-0    -8.8651
 376   McKendree                       5-6-0    -8.9554
 377   Robert Morris PA                1-9-0    -9.0912
 378   Nicholls St                     0-11-0    -9.4255
 379   Southeastern U.                 7-3-0    -9.5064
 380   Brevard                         0-10-0    -9.5892
 381   Black Hills St                  3-8-0     -9.655
 382   Robert Morris IL                8-3-0    -9.6805
 383   MidAmerica Nazarene             9-1-0   -10.0017
 384   Pacific Lutheran                7-2-0     -10.16
 385   Central IA                      8-2-0   -10.1653
 386   Langston                        7-3-0   -10.2075
 387   Quincy                          6-5-0   -10.4162
 388   Missouri S&T                    4-7-0   -10.4845
 389   Tiffin                          5-6-0   -10.6774
 390   Fort Lewis                      3-8-0   -11.0781
 391   Valparaiso                      3-8-0   -11.1981
 392   UW-Stevens Point                7-3-0   -11.2685
 393   Arkansas Tech                   3-8-0   -11.4336
 394   Kentucky Christian              5-6-0   -11.4622
 395   Ursinus                         7-3-0   -11.4682
 396   Guilford                        8-2-0   -11.5572
 397   Hampden-Sydney                  7-3-0    -11.679
 398   Centre                          10-0-0   -11.7124
 399   Edinboro                        3-8-0   -11.7538
 400   Columbia                        0-9-0   -11.7591
 401   Siena Heights                   6-4-0   -11.9467
 402   Fayetteville St                 5-5-0   -12.0365
 403   Hobart                          10-0-0   -12.0509
 404   Elizabeth City St               4-6-0    -12.277
 405   Rowan                           7-3-0   -12.2906
 406   Morehead St                     4-7-0    -12.509
 407   Fort Valley St                  6-4-0   -12.5569
 408   Southern Conn St                2-9-0   -12.6635
 409   Utica                           7-3-0   -12.8068
 410   St Francis IL                   4-7-0   -12.8227
 411   Salisbury                       6-4-0   -13.0031
 412   Webber Int'l                    7-3-0   -13.1195
 413   Seton Hill                      3-8-0   -13.1216
 414   Gustavus Adolphus               6-4-0   -13.3815
 415   Texas Lutheran                  9-1-0   -13.4098
 416   Montana Tech                    1-9-0   -13.4273
 417   Simon Fraser                    2-9-0   -14.0284
 418   Lincoln MO                      2-9-0   -14.2418
 419   Clarion                         2-9-0   -14.5741
 420   Stetson                         5-6-0   -14.5865
 421   Stillman                        5-5-0   -14.6577
 422   UW-La Crosse                    3-7-0   -14.7734
 423   TAMU-Kingsville                 2-9-0   -14.9947
 424   Waynesburg                      8-2-0   -15.0252
 425   Lycoming                        8-2-0    -15.247
 426   DePauw                          7-3-0   -15.3634
 427   Urbana                          3-8-0   -15.4454
 428   Wheaton                         10-0-0    -15.581
 429   Morehouse                       6-4-0   -15.6378
 430   Valley City St                  9-1-0   -15.6412
 431   Arkansas-Pine Bluff             3-7-0   -15.7231
 432   Framingham St                   9-1-0   -15.7535
 433   Louisiana College               6-4-0   -15.8706
 434   Ohio Northern                   7-3-0    -15.936
 435   Lock Haven                      2-9-0   -15.9641
 436   Hardin-Simmons                  6-3-0    -16.023
 437   WV Wesleyan                     4-6-0   -16.0417
 438   Baker                           8-3-0   -16.1256
 439   Cumberland TN                   6-5-0   -16.1992
 440   St Lawrence                     8-2-0   -16.4002
 441   Kentucky St                     3-7-0    -16.424
 442   Pikeville                       5-6-0   -16.7956
 443   Monmouth IL                     8-2-0   -16.8656
 444   Savannah St                     0-12-0   -16.9699
 445   Franklin                        8-2-0   -17.0629
 446   St Ambrose                      5-5-0   -17.1445
 447   Central St OH                   4-6-0   -17.1467
 448   Arkansas-Monticello             2-8-0   -17.2615
 449   Mississippi Valley St           1-9-0    -17.296
 450   SW Oklahoma St                  3-7-0   -17.8069
 451   William Jewell                  5-6-0   -17.8478
 452   Malone                          1-10-0   -17.8855
 453   Fairmont St                     3-7-0   -17.9508
 454   Stevenson                       7-3-0   -18.0016
 455   Carroll WI                      8-2-0     -18.07
 456   Oklahoma Baptist                8-3-0   -18.1111
 457   Coll of Idaho                   4-7-0   -18.1499
 458   Coe                             5-5-0   -18.1904
 459   Emory & Henry                   8-2-0    -18.231
 460   Morrisville St                  8-2-0    -18.332
 461   SW Baptist                      4-7-0   -18.3667
 462   UW-River Falls                  3-7-0   -18.4742
 463   Brockport St                    5-5-0   -18.4899
 464   Mt St Joseph                    8-2-0   -18.8759
 465   Bridgewater VA                  8-2-0   -18.9919
 466   Huntingdon AL                   7-3-0   -19.0553
 467   Adrian                          8-2-0   -19.2459
 468   Benedict                        4-6-0   -19.3239
 469   Baldwin Wallace                 5-5-0   -19.3955
 470   Alfred                          5-5-0   -19.4521
 471   Gettysburg                      5-5-0   -19.5446
 472   South Dakota Tech               2-9-0   -19.5477
 473   Pacific OR                      6-3-0   -19.5804
 474   Dixie St                        1-10-0    -19.581
 475   Franklin & Marshall             5-5-0   -19.8618
 476   West Virginia St                2-9-0   -19.8686
 477   Cumberlands KY                  3-7-0   -20.0821
 478   Benedictine KS                  7-4-0   -20.0855
 479   Taylor                          5-6-0   -20.3304
 480   Virginia-Wise                   2-9-0   -20.6012
 481   Dubuque                         4-6-0   -20.6392
 482   Northwestern IA                 8-2-0   -20.7527
 483   Montana St-Northern             3-8-0   -20.8592
 484   Livingstone                     5-5-0   -21.0156
 485   Ave Maria                       5-6-0   -21.0366
 486   Clark Atlanta                   2-7-0   -21.2947
 487   Lebanon Valley                  3-7-0   -21.4804
 488   Cortland St                     5-5-0   -21.4841
 489   Houston Baptist                 2-9-0   -21.5088
 490   Ottawa                          9-2-0   -21.5316
 491   Johnson C. Smith                3-7-0   -21.5549
 492   Whitworth                       6-4-0    -21.562
 493   Otterbein                       5-5-0   -21.6899
 494   Bethel TN                       5-6-0   -21.6922
 495   Mississippi College             0-9-0   -21.7133
 496   Randolph-Macon                  5-5-0    -21.714
 497   Montclair St                    8-2-0   -21.8285
 498   Moravian                        5-5-0   -21.9951
 499   Chicago                         8-1-0   -22.1496
 500   Maryville                       7-3-0   -22.3888
 501   Shaw                            3-7-0   -22.4186
 502   Willamette                      5-4-0     -22.56
 503   St Augustine's                  3-7-0   -22.6093
 504   Juniata                         5-5-0   -22.7084
