Rank     Team                            W-L-T    Schedule Factor
370        Wayne St MI                     0-1-0    24.6728
371        Tiffin                          0-1-0    24.6728
372        Troy                            2-4-0    24.6196
373        Eastern Michigan                2-3-0    24.6134
374        Utah St                         5-1-0    24.5341
375        Colorado St                     5-1-0    24.4871
376        Lake Erie                       2-4-0    24.4781
377        Ohio U.                         2-3-0    24.4072
378        Akron                           2-3-0    24.2986
379        South Dakota St                 4-1-0    24.2818
380        Central Arkansas                1-4-0    24.2154
381        East Carolina                   4-0-0    24.203
382        North Dakota                    0-2-0    24.1433
383        Austin Peay                     0-6-0    24.1415
384        Memphis                         6-1-0    24.1242
385        Wofford                         1-5-0    24.1175
386        The Citadel                     1-4-0    24.0492
387        Columbia                        0-1-0    24.0465
388        Indiana St                      4-2-0    23.988
389        Kent St                         1-4-0    23.8177
390        Houston                         0-1-0    23.8144
391        Wyoming                         3-3-0    23.8049
392        Massachusetts                   2-3-0    23.7952
393        VMI                             0-4-0    23.6935
394        Georgia St                      1-5-0    23.6628
395        Coe                             0-1-0    23.6116
396        North Dakota St                 5-0-0    23.6027
397        Texas St-San Marcos             5-2-0    23.5608
398        Coastal Carolina                4-0-0    23.3881
399        UTEP                            4-2-0    23.2947
400        Western Illinois                2-3-0    23.2857
401        Hawai`i                         2-4-0    23.2764
402        Alabama St                      0-1-0    23.2441
403        Connecticut                     0-1-0    23.1539
404        Florida Atlantic                0-4-0    23.0912
405        Illinois St                     6-0-0    23.0454
406        Idaho                           1-5-0    23.0229
407        Texas-San Antonio               0-1-0    22.9711
408        Richmond                        3-2-0    22.9456
409        Colorado Mesa                   0-1-0    22.8394
410        Western New Mexico              0-1-0    22.8394
411        Charleston Southern             3-2-0    22.6338
412        Buffalo                         1-4-0    22.5803
413        Arkansas St                     3-3-0    22.5515
414        St Francis IN                   0-1-0    22.4299
415        Alderson-Broaddus               0-1-0    22.3756
416        Idaho St                        2-4-0    22.2487
417        Ashland                         3-2-0    22.2432
418        Texas St-San Marcos             2-3-0    22.1
419        Cornell                         0-1-0    21.9932
420        Rice                            3-2-0    21.8937
421        Georgia Southern                5-3-0    21.8878
422        Saginaw Valley St               0-4-0    21.7663
423        Villanova                       3-1-0    21.6785
424        Western Michigan                5-2-0    21.6676
425        SW Baptist                      0-1-0    21.6373
426        Urbana                          0-1-0    21.6041
427        Bowling Green                   4-3-0    21.3046
428        Gardner-Webb                    0-3-0    21.2774
429        Florida A&M                     0-2-0    21.2701
430        Millsaps                        0-1-0    21.2266
431        Montana Tech                    1-4-0    21.1993
432        Redlands                        0-1-0    21.1359
433        Elon                            0-1-0    21.1314
434        Towson                          0-1-0    21.1314
435        William & Mary                  4-1-0    21.0511
436        Luther                          0-1-0    21.0059
437        Houston                         4-1-0    20.9957
438        Cal Poly SLO                    2-4-0    20.935
439        Rutgers                         4-1-0    20.805
440        Monmouth NJ                     2-4-0    20.6898
441        Montana                         2-4-0    20.6431
442        Elon                            1-4-0    20.636
443        Houston Baptist                 0-3-0    20.5387
444        Delaware St                     0-3-0    20.5032
445        Murray St                       0-6-0    20.4921
446        Columbia                        0-4-0    20.441
447        FDU-Florham                     0-1-0    20.2672
448        Rowan                           0-1-0    20.2672
449        Lebanon Valley                  0-1-0    20.2672
450        Florida Int'l                   3-5-0    20.2624
451        Sam Houston St                  4-1-0    20.1849
