Rank     Team                            W-L-T    Schedule Factor
254        Notre Dame                      3-2-0    31.0486
255        Mary                            0-2-0    30.9699
256        Navy                            6-1-0    30.7619
257        Furman                          1-4-0    30.7089
258        Central Michigan                1-5-0    30.6339
259        Youngstown St                   0-5-0    30.4837
260        Temple                          0-1-0    30.4526
261        Idaho St                        0-1-0    30.4183
262        Wyoming                         1-3-0    30.3943
263        East Carolina                   2-5-0    30.3707
264        Illinois St                     0-1-0    30.2933
265        SMU                             4-3-0    30.2471
266        Prairie View A&M                0-1-0    30.1114
267        New Mexico St                   2-3-0    30.061
268        Sul Ross St                     0-1-0    30.0234
269        Maine                           1-3-0    29.9894
270        Cincinnati                      3-3-0    29.974
271        Florida Int'l                   4-3-0    29.9303
272        Iowa                            5-2-0    29.9286
273        Virginia                        0-4-0    29.853
274        Emporia St                      0-1-0    29.771
275        New Mexico                      0-4-0    29.7541
276        Boise St                        6-1-0    29.7214
277        Northwestern                    4-3-0    29.6606
278        East Carolina                   4-2-0    29.6465
279        Missouri Southern               0-1-0    29.5612
280        Charleston Southern             0-3-0    29.4239
281        North Dakota                    0-4-0    29.32
282        Rutgers                         3-4-0    29.3166
283        Oklahoma St                     5-0-0    29.2094
284        Hawai`i                         6-2-0    29.1797
285        Boston College                  4-2-0    29.1772
286        Louisville                      4-1-0    28.9834
287        Ohio Dominican                  0-2-0    28.9312
288        Buffalo                         0-3-0    28.9099
289        Colgate                         0-1-0    28.7244
290        Eastern Kentucky                0-2-0    28.6163
291        Baylor                          4-4-0    28.5045
292        Temple                          3-2-0    28.4283
293        Northern Michigan               0-3-0    28.4191
294        Northern Illinois               5-0-0    28.3978
295        Georgia                         5-1-0    28.3184
296        Missouri St                     0-6-0    28.3111
297        Northern Colorado               0-3-0    28.2471
298        Louisiana-Lafayette             1-4-0    28.1317
299        South Dakota                    0-1-0    27.994
300        SMU                             0-1-0    27.994
301        Houston                         2-4-0    27.9761
302        Syracuse                        3-2-0    27.9487
303        Alabama-Birmingham              0-2-0    27.9084
304        Southern Miss                   4-2-0    27.7691
305        Samford                         0-1-0    27.6937
306        SMU                             3-3-0    27.6864
307        Illinois St                     1-3-0    27.42
308        Nicholls St                     0-2-0    27.411
309        Missouri Western                2-2-0    27.3847
310        Idaho                           2-5-0    27.2816
311        Tulane                          2-5-0    27.2684
312        Mary                            1-3-0    27.2578
313        Florida Atlantic                0-1-0    27.2441
314        Eastern Michigan                2-4-0    27.2325
315        Clemson                         5-2-0    27.2011
316        Utah                            5-0-0    26.8802
317        New Mexico St                   0-5-0    26.8767
318        Fresno St                       3-1-0    26.8709
319        Ohio U.                         3-2-0    26.8156
320        Akron                           0-5-0    26.7232
321        Richmond                        0-3-0    26.6918
322        Minn St-Moorhead                0-2-0    26.6459
323        Western Carolina                0-2-0    26.5895
324        Central Florida                 6-1-0    26.5058
325        Army                            2-3-0    26.4914
326        Tennessee St                    0-2-0    26.477
327        Buffalo                         0-1-0    26.3301
328        Sam Houston St                  0-1-0    26.3301
329        Central Conn St                 0-1-0    26.317
330        Arkansas-Monticello             0-1-0    26.1402
331        West Virginia                   6-1-0    26.0725
332        Towson                          0-3-0    26.0525
333        Saginaw Valley St               0-1-0    25.9979
334        Ferris St                       0-1-0    25.9979
335        Georgia Tech                    4-2-0    25.9514
336        Villanova                       5-4-0    25.7013
337        Campbellsville                  0-1-0    25.4767
338        UW-Eau Claire                   0-1-0    25.4767
339        Wesley                          0-1-0    25.4767
340        Kansas                          0-3-0    25.349
341        Northern Arizona                3-3-0    25.3273
342        Western Kentucky                2-5-0    25.2908
343        Central Missouri                5-1-0    25.2756
344        Bemidji St                      0-1-0    25.2517
345        Winona St                       0-1-0    25.2517
346        Connecticut                     0-1-0    25.2093
347        Washburn                        3-3-0    25.1954
348        Tulsa                           6-0-0    25.1473
349        Temple                          5-1-0    25.1402
350        Louisville                      3-4-0    25.0623
351        Tennessee St                    0-2-0    25.0152
352        Vanderbilt                      1-4-0    24.9885
353        Eastern Washington              5-1-0    24.8674
354        Ohio State                      8-0-0    24.7105
355        Arkansas St                     1-6-0    24.6175
356        Eastern Washington              8-0-0    24.5638
357        Michigan St                     8-0-0    24.5036
358        Toledo                          4-2-0    24.4054
359        Florida Atlantic                0-1-0    24.3815
360        Rhode Island                    0-3-0    24.2258
361        Troy                            5-1-0    24.2226
362        Nebraska                        6-1-0    24.1654
363        Southern Illinois               1-2-0    24.129
364        Rhode Island                    4-1-0    24.1173
365        Kansas St                       2-4-0    24.0618
366        Minnesota-Duluth                8-0-0    23.8994
367        Miami OH                        5-1-0    23.8769
368        North Texas                     0-1-0    23.867
369        South Dakota St                 1-3-0    23.8436
370        Nebraska                        0-2-0    23.8305
371        North Dakota St                 2-2-0    23.8068
372        Trinity Int'l                   0-2-0    23.8053
373        Upper Iowa                      0-2-0    23.7931
374        Akron                           1-4-0    23.7805
375        West Georgia                    0-2-0    23.6518
376        Northern Illinois               6-3-0    23.6454
377        Western Michigan                3-3-0    23.4227
378        Western Illinois                2-5-0    23.3444
379        Idaho                           4-2-0    23.3335
380        Sacramento St                   2-4-0    23.278
381        Idaho St                        0-3-0    23.1933
382        Texas A&M                       1-1-0    23.1586
383        Buffalo                         1-2-0    23.1425
384        Wofford                         5-2-0    23.1265
385        Chattanooga                     3-2-0    23.1218
386        James Madison                   0-1-0    23.1208
387        Charleston Southern             0-2-0    23.0029
388        Eastern Kentucky                1-3-0    22.9739
389        Memphis                         0-4-0    22.9698
390        Valparaiso                      0-2-0    22.965
391        Hillsdale                       0-1-0    22.9611
392        Chattanooga                     3-3-0    22.88
393        Louisiana-Lafayette             2-4-0    22.8579
394        Arkansas Tech                   0-2-0    22.8077
395        Northern Iowa                   3-2-0    22.7386
396        Southern Miss                   4-3-0    22.6786
397        NW Missouri St                  6-1-0    22.5799
398        Southern Utah                   2-4-0    22.4808
399        Pikeville                       0-1-0    22.4764
400        Kentucky Wesleyan               0-1-0    22.4764
401        Army                            5-2-0    22.3755
402        Arkansas Tech                   0-2-0    22.3086
403        Southern Arkansas               0-2-0    22.3086
404        Florida                         2-0-0    22.2375
405        Hawai`i                         4-1-0    22.2105
406        North Dakota                    0-2-0    22.1569
407        Elon                            2-4-0    22.1264
408        Southern Arkansas               0-1-0    22.0464
409        Ohio U.                         5-1-0    22.0401
410        Syracuse                        5-1-0    21.8938
411        North Texas                     0-6-0    21.8187
412        Western St CO                   0-2-0    21.8008
413        Kent St                         4-2-0    21.6331
414        Marshall                        1-4-0    21.6244
415        Fort Hays St                    0-3-0    21.5652
416        Tiffin                          0-1-0    21.5476
417        SW Minnesota St                 0-2-0    21.431
418        Bowling Green                   0-2-0    21.4292
419        Rice                            1-4-0    21.3273
420        Minnesota-Crookston             0-4-0    21.2222
