Away Team, Away Score, Home Team, Home Score
Minnesota-Crookston,6,Wayne St NE,68
Northern Colorado,47,Weber St,50
Edinboro,16,West Chester,14
Tusculum,54,Western Carolina,30
Nicholls St,14,Western Michigan,49
Mass Maritime,6,Western New England,30
Thiel,0,Widener,21
Waynesburg,35,Wilkes,38
VMI,0,William & Mary,45
Graceland,9,William Jewell,31
Minn St-Moorhead,3,Winona St,58
San Jose St,14,Wisconsin,27
Hope,14,Wisconsin Lutheran,17
Ohio Wesleyan,0,Wittenberg,52
Worcester St,20,WPI,27
Butler,7,Youngstown St,31
Concordia AL,7,Carson-Newman,37
Cincinnati,19,North Carolina St,30
Newberry,35,Samford,38
Lane,0,Tennessee Tech,43
Harding,21,West Georgia,28
Franklin & Marshall,35,Dickinson,26
New Jersey,23,FDU-Florham,24
California,31,Nevada,52
Worcester St,32,Nichols,29
Kansas,16,Southern Miss,31
East Central OK,7,Abilene Christian,47
Augustana IL,21,Adrian,7
Troy,33,Alabama-Birmingham,34
Greenville,10,Albion,35
Rockford,10,Alma,27
Stonehill,12,American Int'l,14
North Carolina Central,16,Appalachian St,44
Greensboro,7,Apprentice,9
Iowa,27,Arizona,34
Louisiana-Monroe,20,Arkansas St,34
Henderson St,45,Arkansas Tech,21
North Texas,0,Army,24
Hillsdale,27,Ashland,17
Clemson,24,Auburn,27
Hamline,38,Augsburg,42
Mary,21,Augustana SD,52
Illinois Wesleyan,21,Aurora,14
Guilford,9,Averett,45
Whittier,21,Azusa Pacific,46
Avila,17,Baker,41
Lindsey Wilson,21,Belhaven,49
South Carolina St,61,Benedict,20
Central Methodist,14,Benedictine KS,38
Tabor,34,Bethany KS,13
Southern Nazarene,42,Bethel KS,18
Savannah St,7,Bethune-Cookman,42
Indiana PA,20,Bloomsburg,47
Marshall,28,Bowling Green,44
Plymouth St,17,Bridgewater St MA,0
Western Conn St,23,Brockport St,35
Stony Brook,30,Brown,33
Merrimack,29,Bryant,46
Dartmouth,43,Bucknell,20
Central Florida,24,Buffalo,10
Taylor,20,Butler,28
Mercyhurst,28,C.W. Post,20
East Stroudsburg,20,California PA,45
Davidson,28,Campbell,27
UW-Whitewater,37,Campbellsville,7
Bethel MN,55,Carleton,20
Hobart,35,Carnegie Mellon,21
Beloit,21,Carroll WI,33
Shaw,21,Catawba,32
McDaniel,24,Catholic,14
Murray St,20,Central Arkansas,21
Dubuque,8,Central IA,34
Kentucky Wesleyan,38,Central St OH,33
Dixie St,21,Central Washington,43
DePauw,21,Centre,16
Western St CO,7,Chadron St,40
Mars Hill,14,Charleston Southern,28
West Virginia St,0,Charleston WV,42
Eastern Kentucky,24,Chattanooga,42
Edinboro,27,Cheyney,21
Shippensburg,28,Clarion,24
Georgia Southern,43,Coastal Carolina,26
Hawai`i,13,Colorado,31
Adams St,10,Colorado St-Pueblo,27
Fordham,16,Columbia,9
St Scholastica,7,Concordia IL,49
Midland,7,Concordia NE,3
Carthage,51,Concordia WI,3
Buffalo St,7,Cortland St,35
MidAmerica Nazarene,46,Culver-Stockton,13
Georgetown KY,58,Cumberlands KY,40
Coast Guard,0,Curry,35
Morehead St,28,Dayton,34
Duquesne,6,Delaware,30
Dakota St,7,Dickinson St,31
Hastings,35,Dordt,0
Alabama,62,Duke,13
Central Michigan,52,Eastern Michigan,14
Montana St-Northern,46,Eastern Oregon,50
Montana,27,Eastern Washington,36
Chicago,20,Elmhurst,31
Virginia-Wise,10,Emory & Henry,20
Missouri Southern,27,Emporia St,30
Huntingdon AL,42,Faulkner,10
Elizabeth City St,38,Fayetteville St,26
Southern Virginia,20,Ferrum,17
Endicott,56,Fitchburg St,14
Brigham Young,10,Florida St,34
Truman St,9,Fort Hays St,34
Stillman,2,Fort Valley St,56
Salve Regina,3,Framingham St,14
Bluffton,9,Franklin,56
Christopher Newport,31,Frostburg St,33
Western Carolina,28,Gardner-Webb,14
Thomas More,36,Geneva,20
Arkansas,31,Georgia,24
Jacksonville St,34,Georgia St,27
Johns Hopkins,29,Gettysburg,21
Seton Hill,28,Glenville St,38
Evangel,25,Graceland,27
Jackson St,21,Grambling St,28
Indianapolis,31,Grand Valley St,38
Marian IN,17,Grand View,7
Ripon,48,Grinnell,21
Northwestern MN,0,Gustavus Adolphus,29
Sewanee,0,Hampden-Sydney,38
North Carolina A&T,21,Hampton,35
Defiance,24,Hanover,10
Mississippi College,10,Hardin-Simmons,45
Holy Cross,6,Harvard,34
Baldwin-Wallace,35,Heidelberg,20
Denison,31,Hiram,24
Florida A&M,50,Howard,7
Menlo,13,Humboldt St,32
Salisbury,84,Husson,7
UNLV,7,Idaho,30
Northern Illinois,22,Illinois,28
Lake Forest,7,Illinois College,27
