Away Team, Away Score, Home Team, Home Score
Abilene Christian,31,TAMU-Kingsville,24
Angelo St,34,Tarleton St,37
North Carolina A&T,7,Tennessee St,37
Oklahoma,28,Texas,20
Concordia AL,17,Texas College,13
Sul Ross St,11,Texas Lutheran,28
Western Carolina,24,The Citadel,13
Thiel,3,Thomas More,42
Grand Valley St,71,Tiffin,10
Wyoming,20,Toledo,15
Massachusetts,27,Towson,14
Central Missouri,38,Truman St,14
Miles,0,Tuskegee,51
Washington St,28,UCLA,42
Nevada,44,UNLV,26
SW Baptist,50,Urbana,21
St John Fisher,35,Utica,24
UW-Stevens Point,13,UW-Eau Claire,20
UW-La Crosse,17,UW-Oshkosh,28
UW-Stout,24,UW-River Falls,7
Ouachita Baptist,19,Valdosta St,21
Dickinson St,16,Valley City St,6
Florida St,34,Virginia,14
West Virginia Tech,26,Virginia-Wise,51
Presbyterian,13,VMI,24
Bryant,21,Wagner,29
Georgia Tech,24,Wake Forest,20
Westminster PA,7,Wash & Jeff,49
Northern Michigan,18,Wayne St MI,26
Azusa Pacific,10,Webber Int'l,13
Eastern Washington,35,Weber St,24
C.W. Post,39,West Chester,37
Southern Arkansas,17,West Georgia,31
Concord,42,West Virginia St,18
Idaho,33,Western Michigan,13
Salve Regina,5,Western New England,10
Mesa St,10,Western New Mexico,20
Bridgewater St MA,0,Westfield St,15
Illinois Wesleyan,19,Wheaton,29
FDU-Florham,20,Widener,35
Albright,35,Wilkes,38
Villanova,24,William & Mary,31
Central Methodist,3,William Jewell,13
Western Conn St,0,William Paterson,35
Grand View,7,William Penn,38
Catawba,35,Wingate,28
Minn St-Mankato,21,Winona St,43
Furman,17,Wofford,38
Union NY,25,WPI,17
Seton Hill,16,WV Wesleyan,37
Albany NY,23,Yale,20
Troy,42,Middle Tennessee St,13
Alabama-Birmingham,7,Central Florida,42
Delta St,34,Arkansas-Monticello,20
Prairie View A&M,21,Arkansas-Pine Bluff,6
Georgetown KY,52,Campbellsville,21
Nebraska,48,Kansas St,13
Shippensburg,43,West Chester,44
Merrimack,28,Bentley,31
Dickinson,10,Johns Hopkins,44
Oklahoma St,54,Louisiana-Lafayette,28
Connecticut,24,Rutgers,27
Midwestern St,28,Abilene Christian,31
New Mexico Highlands,0,Adams St,55
Colorado St,27,Air Force,49
St Francis PA,0,Albany NY,48
Miles,7,Albany St GA,34
Lycoming,50,Albright,0
Texas Southern,30,Alcorn St,20
Kenyon,0,Allegheny,24
Albion,27,Alma,17
TAMU-Kingsville,28,Angelo St,21
Husson,53,Anna Maria,38
Elon,31,Appalachian St,34
Oregon St,29,Arizona,27
Ouachita Baptist,28,Arkansas Tech,7
Tiffin,0,Ashland,49
Pace,0,Assumption,20
North Central,34,Augustana IL,14
Northern St SD,15,Augustana SD,31
Benedictine IL,28,Aurora,21
Sewanee,17,Austin,34
Tennessee Tech,34,Austin Peay,21
Benedictine KS,47,Avila,7
Humboldt St,49,Azusa Pacific,32
SW Assem of God,17,Bacone,66
Lindenwood,48,Baker,14
Otterbein,34,Baldwin-Wallace,35
Western Michigan,45,Ball St,16
Texas Tech,45,Baylor,38
Bethany KS,44,Bethel KS,31
St John's MN,14,Bethel MN,17
Delaware St,24,Bethune-Cookman,47
Valley City St,10,Black Hills St,31
Manchester,27,Bluffton,29
Toledo,14,Boise St,57
Sioux Falls,66,Briar Cliff,21
Hampden-Sydney,24,Bridgewater VA,17
San Diego St,21,Brigham Young,24
Sacred Heart,24,Bryant,25
Pennsylvania,31,Bucknell,10
Wartburg,28,Buena Vista,0
Millersville,21,C.W. Post,49
UCLA,7,California,35
Wingate,38,Carson-Newman,35
Millikin,24,Carthage,48
SUNY-Maritime,41,Castleton St,28
Brevard,21,Catawba,31
Northwestern St,24,Central Arkansas,19
Duquesne,29,Central Conn St,31
Simpson,10,Central IA,38
Evangel,33,Central Methodist,21
Kentucky St,41,Central St OH,24
Southern Oregon,0,Central Washington,27
Birmingham-Southern,28,Centre,35
Nebraska-Kearney,35,Chadron St,21
Fairmont St,27,Charleston WV,35
Bloomsburg,52,Cheyney,14
Denison,7,Chicago,36
Lincoln PA,27,Chowan,30
Averett,17,Christopher Newport,9
Miami OH,3,Cincinnati,45
Chapman,21,Claremont-Mudd-Scripps,31
Fort Valley St,40,Clark Atlanta,16
Bridgewater St MA,32,Coast Guard,25
Colorado St-Pueblo,16,Colorado Mines,19
Lafayette,28,Columbia,42
Wisconsin Lutheran,21,Concordia IL,38
Maranatha Baptist,0,Concordia WI,35
Carleton,14,Concordia-Moorhead,26
Bemidji St,14,Concordia-St Paul,20
Brockport St,0,Cortland St,35
Northwestern MN,24,Crown,30
Peru St,24,Culver-Stockton,14
Shorter,14,Cumberland TN,22
Western New England,27,Curry,23
Minot St,35,Dakota St,19
Yale,23,Dartmouth,20
Butler,24,Davidson,8
Mt St Joseph,14,Defiance,22
Maine,7,Delaware,26
Rhodes,18,DePauw,42
Western Oregon,40,Dixie St,27
Concordia NE,14,Doane,42
Incarnate Word,27,East Central OK,13
Kutztown,38,East Stroudsburg,31
Louisiana College,49,East Texas Baptist,21
Eastern Illinois,7,Eastern Kentucky,35
Central Oklahoma,31,Eastern New Mexico,49
Northern Arizona,14,Eastern Washington,21
Virginia Union,14,Elizabeth City St,17
Wheaton,27,Elmhurst,24
Pittsburg St,14,Emporia St,17
Nichols,10,Endicott,30
Belhaven,31,Faulkner,41
Delaware Valley,55,FDU-Florham,14
Findlay,10,Ferris St,23
Framingham St,42,Fitchburg St,28
LSU,33,Florida,29
Western Kentucky,21,Florida Int'l,28
Central Missouri,30,Fort Hays St,27
Rose-Hulman,17,Franklin,56
Hawai`i,49,Fresno St,27
Howard,14,Furman,56
California PA,34,Gannon,7
Waynesburg,55,Geneva,42
Wagner,22,Georgetown DC,16
Tennessee,14,Georgia,41
Wofford,33,Georgia Southern,31
Savannah St,21,Georgia St,55
Virginia,21,Georgia Tech,33
Moravian,21,Gettysburg,33
Alabama St,7,Grambling St,22
Northern Michigan,7,Grand Valley St,28
Quincy,14,Grand View,41
Thomas More,31,Grove City,9
Hamline,14,Gustavus Adolphus,42
Earlham,23,Hanover,51
West Alabama,22,Harding,17
Alfred,35,Hartwick,14
Cornell NY,17,Harvard,31
Midland,35,Hastings,23
Muskingum,21,Heidelberg,33
Union NY,35,Hobart,41
Brown,13,Holy Cross,17
Mississippi St,47,Houston,24
Hardin-Simmons,56,Howard Payne,0
North Park,0,Illinois Wesleyan,42
Mercyhurst,28,Indiana PA,27
Illinois St,24,Indiana St,59
Northwood,31,Indianapolis,24
Utah,68,Iowa St,27
William Penn,56,Iowa Wesleyan,41
Alabama A&M,14,Jackson St,30
Drake,34,Jacksonville FL,39
Wilmington,17,John Carroll,38
Shaw,45,Johnson C. Smith,13
Hope,35,Kalamazoo,24
Haskell,7,Kansas Wesleyan,59
Akron,17,Kent St,28
Auburn,37,Kentucky,34
Virginia-Wise,34,Kentucky Christian,31
Widener,36,King's PA,21
Grinnell,21,Knox,31
Occidental,30,La Verne,0
Wayne St MI,28,Lake Erie,16
Beloit,33,Lake Forest,27
Rockford,0,Lakeland,42
Langston,0,Lamar,14
Benedict,30,Lane,23
Carroll WI,21,Lawrence,14
Wilkes,35,Lebanon Valley,28
Fordham,17,Lehigh,21
Mars Hill,24,Lenoir-Rhyne,20
Menlo,10,Lewis & Clark,31
Charleston Southern,20,Liberty,44
SW Baptist,62,Lincoln MO,38
Pikeville,52,Lindsey Wilson,59
WV Wesleyan,58,Livingstone,3
Clarion,49,Lock Haven,6
Dubuque,6,Loras,14
Utah St,6,Louisiana Tech,24
Florida Atlantic,17,Louisiana-Monroe,20
Memphis,0,Louisville,56
Cornell IA,21,Luther,24
Trinity Bible,28,Macalester,41
Westfield St,21,Maine Maritime,42
Mount Union,28,Marietta,14
Wayne St NE,33,Mary,28
Mississippi College,31,Mary Hardin-Baylor,41
Shenandoah,7,Maryville,6
Dickinson St,37,Mayville St,7
Susquehanna,0,McDaniel,35
Stephen F. Austin,32,McNeese St,27
St Mary KS,24,McPherson,73
WPI,9,Merchant Marine,26
Fort Lewis,14,Mesa St,31
Ferrum,51,Methodist,45
Florida St,45,Miami FL,17
Michigan St,34,Michigan,17
Graceland,22,MidAmerica Nazarene,54
Huntingdon AL,19,Millsaps,35
St Cloud St,31,Minn St-Mankato,17
Winona St,17,Minnesota-Duluth,59
Martin Luther,28,Minnesota-Morris,21
Colorado,0,Missouri,26
NW Missouri St,49,Missouri Southern,21
William Jewell,23,Missouri Valley,40
Truman St,7,Missouri Western,29
Plymouth St,21,MIT,7
Idaho St,28,Montana,47
Portland St,31,Montana St,44
New Jersey,14,Montclair St,30
Dordt,0,Morningside,71
Becker,6,Mount Ida,41
Juniata,3,Muhlenberg,38
Missouri St,59,Murray St,72
Dakota Wesleyan,20,Nebraska Wesleyan,27
San Jose St,13,Nevada,35
Richmond,0,New Hampshire,17
Southern Conn St,22,New Haven,23
New Mexico,14,New Mexico St,16
Sam Houston St,26,Nicholls St,7
Clemson,16,North Carolina,21
Morgan St,27,North Carolina A&T,14
Hampton,27,North Carolina Central,13
Boston College,17,North Carolina St,44
Greensboro,12,North Carolina Wesleyan,48
Southern Utah,31,North Dakota,21
Arkansas St,24,North Texas,19
TAMU-Commerce,7,Northeastern St OK,38
Temple,17,Northern Illinois,31
Purdue,20,Northwestern,17
Gallaudet,23,Norwich,31
Pittsburgh,17,Notre Dame,23
Case Western Reserve,48,Oberlin,36
Hillsdale,35,Ohio Dominican,10
Capital,10,Ohio Northern,44
Indiana,10,Ohio State,38
Bowling Green,25,Ohio U.,49
Carnegie Mellon,35,Ohio Wesleyan,23
Cal Poly SLO,50,Old Dominion,37
Adrian,41,Olivet,0
Trinity Int'l,41,Olivet Nazarene,40
Tabor,6,Ottawa,55
Whitworth,21,Pacific Lutheran,39
Willamette,69,Pacific OR,7
Illinois,33,Penn State,13
Redlands,38,Pomona-Pitzer,26
Colgate,44,Princeton,10
Linfield,55,Puget Sound,14
Catholic,28,Randolph-Macon,56
Monmouth IL,51,Ripon,45
Monmouth NJ,16,Robert Morris,17
Kean,17,Rowan,21
Northern Colorado,7,Sacramento St,42
Michigan Tech,31,Saginaw Valley St,43
Dayton,21,San Diego,20
Texas St-San Marcos,24,SE Louisiana St,49
Tennessee St,17,SE Missouri St,19
SW Oklahoma St,35,SE Oklahoma St,42
West Virginia St,20,Seton Hill,48
Concord,35,Shepherd,49
Edinboro,14,Slippery Rock,28
Tulsa,18,SMU,21
Missouri S&T,6,South Alabama,45
Alabama,21,South Carolina,35
Norfolk St,13,South Carolina St,34
Western Illinois,29,South Dakota St,33
Jamestown,7,South Dakota Tech,31
Syracuse,13,South Florida,9
Henderson St,28,Southern Arkansas,17
Northern Iowa,38,Southern Illinois,45
East Carolina,44,Southern Miss,43
NW Oklahoma St,62,Southern Nazarene,42
Mississippi Valley St,20,Southern U.,38
Guilford,21,Southern Virginia,36
American Int'l,27,St Anselm,7
McKendree,24,St Francis IL,28
Walsh,14,St Francis IN,20
Ithaca,10,St John Fisher,34
Notre Dame OH,7,St Joseph's IN,37
Illinois College,26,St Norbert,25
Bowie St,16,St Paul's,10
Greenville,35,St Scholastica,7
Augsburg,17,St Thomas,55
Marian IN,25,St Xavier,56
Southern Cal,35,Stanford,37
Friends,20,Sterling,13
Concordia AL,18,Stillman,17
VMI,9,Stony Brook,27
McMurry,35,Sul Ross St,12
Minn St-Moorhead,14,SW Minnesota St,49
Malone,7,Taylor,12
Wyoming,0,TCU,45
Jacksonville St,30,Tennessee-Martin,20
Arkansas,24,Texas A&M,17
Trinity TX,14,Texas Lutheran,42
Chattanooga,28,The Citadel,10
James Madison,17,Towson,13
LaGrange,7,Trine,51
Army,41,Tulane,23
Newberry,63,Tusculum,56
Morehouse,15,Tuskegee,31
South Dakota,13,UC-Davis,17
Salve Regina,28,UMass-Dartmouth,6
Bethel TN,55,Union KY,84
Minnesota-Crookston,19,Upper Iowa,56
Kentucky Wesleyan,25,Urbana,39
Rice,24,UTEP,44
St Lawrence,13,Utica,31
UW-River Falls,20,UW-La Crosse,37
UW-Eau Claire,14,UW-Platteville,35
UW-Oshkosh,17,UW-Stevens Point,41
UW-Stout,7,UW-Whitewater,30
Marist,51,Valparaiso,7
Eastern Michigan,6,Vanderbilt,52
Fayetteville St,21,Virginia St,14
Central Michigan,21,Virginia Tech,45
Navy,28,Wake Forest,27
St Ambrose,49,Waldorf,6
St Vincent,20,Wash & Jeff,31
Nebraska-Omaha,28,Washburn,40
Arizona St,24,Washington,14
Emory & Henry,24,Washington and Lee,45
Oregon,43,Washington St,23
Wabash,20,Washington U.,24
UNC-Pembroke,13,Webber Int'l,26
Apprentice,7,Wesley,64
North Alabama,17,West Georgia,10
Glenville St,21,West Liberty St,47
Tarleton St,17,West Texas A&M,48
UNLV,10,West Virginia,49
Samford,38,Western Carolina,7
Buffalo St,71,Western Conn St,3
Western New Mexico,25,Western St CO,7
Eureka,14,Westminster MO,34
Bethany WV,47,Westminster PA,39
Cal Lutheran,30,Whittier,3
Rhode Island,7,William & Mary,26
Morrisville St,28,William Paterson,31
St Augustine's,40,Winston-Salem St,35
Minnesota,23,Wisconsin,41
Hiram,7,Wittenberg,49
Mass Maritime,21,Worcester St,13
North Dakota St,34,Youngstown St,29
Central Florida,35,Marshall,14
Kansas St,59,Kansas,7
Valdosta St,5,North Alabama,0
Elizabeth City St,10,Virginia St,15
South Florida,6,West Virginia,20
Cincinnati,35,Louisville,27
Mississippi,10,Alabama,23
UTEP,6,Alabama-Birmingham,21
Hope,14,Albion,27
King's PA,14,Albright,38
New Haven,13,American Int'l,0
Bluffton,23,Anderson,28
Castleton St,49,Anna Maria,35
The Citadel,10,Appalachian St,39
Southern Arkansas,19,Arkansas Tech,35
West Georgia,24,Arkansas-Monticello,31
Alabama A&M,14,Arkansas-Pine Bluff,21
Arkansas,43,Auburn,65
Concordia-Moorhead,35,Augsburg,16
SE Missouri St,41,Austin Peay,24
Maryville,21,Averett,14
Eastern Michigan,41,Ball St,38
Shorter,25,Belhaven,24
Ripon,35,Beloit,20
Albany St GA,27,Benedict,10
Concordia WI,6,Benedictine IL,32
Baker,20,Benedictine KS,14
Southwestern KS,35,Bethany KS,41
Gustavus Adolphus,0,Bethel MN,20
Austin,21,Birmingham-Southern,44
Lincoln PA,18,Bowie St,24
Lenoir-Rhyne,24,Brevard,8
Worcester St,9,Bridgewater St MA,25
William Paterson,16,Brockport St,30
Dayton,33,Butler,13
East Stroudsburg,17,C.W. Post,28
La Verne,21,Cal Lutheran,49
Slippery Rock,3,California PA,28
Drake,14,Campbell,12
Otterbein,13,Capital,23
St Norbert,30,Carroll WI,6
Augustana IL,43,Carthage,16
Carson-Newman,42,Catawba,16
Miami OH,27,Central Michigan,20
Missouri Western,21,Central Missouri,43
SE Oklahoma St,56,Central Oklahoma,55
St Augustine's,21,Central St OH,14
Western Oregon,0,Central Washington,19
Gardner-Webb,35,Charleston Southern,25
Seton Hill,20,Charleston WV,24
Georgia Southern,27,Chattanooga,35
Maryland,7,Clemson,31
Wartburg,31,Coe,21
Baylor,31,Colorado,25
Mesa St,10,Colorado Mines,46
UNLV,10,Colorado St,43
Nebraska-Kearney,38,Colorado St-Pueblo,24
Glenville St,14,Concord,49
Briar Cliff,26,Concordia NE,30
Buena Vista,26,Cornell IA,14
Colgate,44,Cornell NY,3
Eureka,14,Crown,36
Campbellsville,28,Cumberlands KY,34
Hastings,21,Dakota Wesleyan,34
Holy Cross,19,Dartmouth,27
Rhode Island,17,Delaware,24
North Carolina A&T,26,Delaware St,31
Harding,38,Delta St,35
Allegheny,17,Denison,16
Adrian,19,DePauw,23
Black Hills St,19,Dickinson St,13
Northwestern IA,48,Dordt,3
Simpson,7,Dubuque,35
Miami FL,28,Duke,13
Sacred Heart,17,Duquesne,37
Defiance,33,Earlham,0
North Carolina St,27,East Carolina,33
Eastern New Mexico,19,East Central OK,22
Montana Tech,28,Eastern Oregon,31
Mercyhurst,22,Edinboro,21
Webber Int'l,45,Edward Waters,6
Missouri Valley,31,Evangel,17
Cumberland TN,17,Faulkner,20
Mississippi St,10,Florida,7
Savannah St,0,Florida A&M,31
Boston College,19,Florida St,24
Western St CO,27,Fort Lewis,24
Tuskegee,0,Fort Valley St,26
Maine Maritime,50,Framingham St,26
New Mexico St,10,Fresno St,33
Peru St,13,Friends,38
Mount Ida,22,Gallaudet,16
Bucknell,24,Georgetown DC,21
Pikeville,58,Georgetown KY,70
Vanderbilt,0,Georgia,43
North Carolina Central,17,Georgia St,20
Middle Tennessee St,14,Georgia Tech,42
Avila,27,Graceland,21
Alcorn St,28,Grambling St,38
Lake Erie,23,Grand Valley St,57
Ferrum,28,Greensboro,20
MacMurray,7,Greenville,50
Lawrence,17,Grinnell,31
Geneva,7,Grove City,13
Bridgewater VA,56,Guilford,27
St Thomas,61,Hamline,17
Emory & Henry,10,Hampden-Sydney,48
Norfolk St,6,Hampton,7
Sul Ross St,7,Hardin-Simmons,73
Lehigh,21,Harvard,19
Nevada,21,Hawai`i,27
Michigan Tech,17,Hillsdale,24
Case Western Reserve,41,Hiram,0
Dixie St,3,Humboldt St,28
Weber St,16,Idaho St,13
Knox,23,Illinois College,31
North Dakota St,24,Illinois St,34
Elmhurst,26,Illinois Wesleyan,30
Abilene Christian,54,Incarnate Word,17
Arkansas St,34,Indiana,36
Clarion,21,Indiana PA,14
Missouri St,35,Indiana St,38
Southern U.,45,Jackson St,49
Tennessee St,0,Jacksonville St,24
New Hampshire,28,James Madison,14
Mayville St,7,Jamestown,44
Gettysburg,56,Juniata,21
Olivet,13,Kalamazoo,33
Western Conn St,14,Kean,35
South Carolina,28,Kentucky,31
Clark Atlanta,19,Kentucky St,7
Millersville,28,Kutztown,38
Stony Brook,21,Lafayette,28
North Greenville,55,LaGrange,27
South Alabama,26,Lamar,0
UW-Oshkosh,35,Lambuth,22
Miles,20,Lane,6
SW Assem of God,27,Langston,41
FDU-Florham,21,Lebanon Valley,33
Culver-Stockton,19,Lindenwood,90
Union KY,44,Lindsey Wilson,14
Pacific OR,14,Linfield,66
Gannon,42,Lock Haven,7
Howard Payne,28,Louisiana College,62
Idaho,35,Louisiana Tech,48
McNeese St,10,LSU,32
Central IA,45,Luther,26
Widener,7,Lycoming,31
Villanova,48,Maine,18
St Xavier,55,Malone,16
Franklin,40,Manchester,3
Aurora,41,Maranatha Baptist,7
Olivet Nazarene,16,Marian IN,42
San Diego,14,Marist,10
Newberry,36,Mars Hill,48
Westminster MO,23,Martin Luther,28
Fitchburg St,7,Mass Maritime,34
Richmond,11,Massachusetts,10
Muhlenberg,29,McDaniel,0
Texas Lutheran,14,McMurry,63
Kansas Wesleyan,42,McPherson,56
Southern Miss,41,Memphis,19
Pacific Lutheran,28,Menlo,10
Assumption,23,Merrimack,49
Iowa,38,Michigan,28
Illinois,6,Michigan St,26
Doane,10,Midland,48
Angelo St,21,Midwestern St,35
Upper Iowa,14,Minn St-Mankato,48
Bemidji St,14,Minn St-Moorhead,6
Northern St SD,38,Minnesota-Crookston,0
Mary,0,Minnesota-Duluth,49
South Dakota Tech,10,Minot St,6
East Texas Baptist,28,Mississippi College,20
Kentucky Wesleyan,35,Missouri S&T,38
Lake Forest,10,Monmouth IL,27
Bryant,12,Monmouth NJ,21
Montana-Western,33,Montana St-Northern,36
Buffalo St,20,Montclair St,35
Franklin & Marshall,17,Moravian,24
Davidson,17,Morehead St,10
New Jersey,30,Morrisville St,6
Heidelberg,7,Mount Union,45
Rose-Hulman,13,Mt St Joseph,7
John Carroll,24,Muskingum,17
SMU,21,Navy,28
Texas,20,Nebraska,13
Fort Hays St,29,Nebraska-Omaha,41
Chadron St,41,New Mexico Highlands,19
UMass-Dartmouth,9,Nichols,7
Christopher Newport,23,North Carolina Wesleyan,15
Millikin,7,North Central,38
Florida Int'l,34,North Texas,10
Montana St,7,Northern Arizona,34
Eastern Washington,35,Northern Colorado,28
Buffalo,14,Northern Illinois,45
Ferris St,20,Northern Michigan,22
Minnesota-Morris,35,Northwestern MN,33
Tiffin,27,Northwood,51
Husson,7,Norwich,52
Western Michigan,20,Notre Dame,44
Emporia St,28,NW Missouri St,42
Bacone,14,NW Oklahoma St,51
Pomona-Pitzer,26,Occidental,39
Findlay,10,Ohio Dominican,20
Baldwin-Wallace,21,Ohio Northern,41
Akron,10,Ohio U.,38
Texas College,14,OK Panhandle St,23
Iowa St,0,Oklahoma,52
Stonehill,27,Pace,0
Columbia,13,Pennsylvania,27
Washburn,35,Pittsburg St,34
Endicott,3,Plymouth St,10
Montana,23,Portland St,21
Lincoln MO,12,Prairie View A&M,45
Coastal Carolina,35,Presbyterian,7
Brown,17,Princeton,13
Minnesota,17,Purdue,28
Iowa Wesleyan,62,Quincy,50
Claremont-Mudd-Scripps,7,Redlands,21
Millsaps,70,Rhodes,31
Houston,31,Rice,34
Albany NY,0,Robert Morris,38
Merchant Marine,48,Rochester,19
Concordia IL,44,Rockford,0
Carroll MT,42,Rocky Mountain,37
Cortland St,17,Rowan,20
Alfred,24,RPI,27
Army,20,Rutgers,23
Indianapolis,20,Saginaw Valley St,24
Huntingdon AL,21,Salisbury,45
Curry,7,Salve Regina,31
SE Louisiana St,7,Sam Houston St,57
Furman,27,Samford,10
Air Force,25,San Diego St,27
Boise St,48,San Jose St,0
Trinity TX,17,Sewanee,3
Fayetteville St,27,Shaw,34
Methodist,18,Shenandoah,21
WV Wesleyan,26,Shepherd,37
Bloomsburg,23,Shippensburg,3
Morningside,3,Sioux Falls,28
Bethune-Cookman,14,South Carolina St,0
Northern Iowa,19,South Dakota,14
California,14,Southern Cal,48
Bentley,36,Southern Conn St,26
South Dakota St,31,Southern Illinois,10
Mary Hardin-Baylor,31,Southern Oregon,10
Cal Poly SLO,7,Southern Utah,20
Utica,16,Springfield,20
SW Minnesota St,6,St Cloud St,24
Haskell,16,St Francis IL,61
Wagner,22,St Francis PA,14
Hartwick,14,St John Fisher,41
Urbana,20,St Joseph's IN,27
Bethel KS,26,St Mary KS,42
Carleton,24,St Olaf,49
Chowan,31,St Paul's,20
Central Arkansas,7,Stephen F. Austin,30
Morehouse,38,Stillman,24
Becker,0,SUNY-Maritime,23
Dickinson,28,Susquehanna,24
Northeastern St OK,20,SW Oklahoma St,10
Pittsburgh,45,Syracuse,14
Sterling,33,Tabor,14
Tarleton St,34,TAMU-Commerce,31
West Texas A&M,24,TAMU-Kingsville,28
Brigham Young,3,TCU,31
Bowling Green,27,Temple,28
Eastern Illinois,20,Tennessee Tech,34
Eastern Kentucky,7,Tennessee-Martin,10
Missouri,30,Texas A&M,9
Nicholls St,47,Texas St-San Marcos,45
Oklahoma St,34,Texas Tech,17
Bethany WV,41,Thiel,7
St Vincent,6,Thomas More,24
Kent St,21,Toledo,34
Alma,0,Trine,38
St Francis IN,33,Trinity Int'l,6
Louisiana-Lafayette,24,Troy,31
Missouri Southern,6,Truman St,23
Tulane,24,Tulsa,52
Fairmont St,0,UNC-Pembroke,24
St Lawrence,23,Union NY,14
Johns Hopkins,17,Ursinus,26
UW-Whitewater,45,UW-Eau Claire,0
UW-Platteville,21,UW-La Crosse,6
UW-Stevens Point,27,UW-Stout,21
Dakota St,10,Valley City St,54
Jacksonville FL,86,Valparaiso,7
North Carolina,44,Virginia,10
Wake Forest,21,Virginia Tech,52
Johnson C. Smith,21,Virginia Union,44
Liberty,41,VMI,7
Oberlin,21,Wabash,42
McKendree,54,Waldorf,7
Taylor,21,Walsh,17
Frostburg St,6,Wash & Jeff,21
Oregon St,34,Washington,35
Randolph-Macon,28,Washington and Lee,42
Arizona,24,Washington St,7
Ashland,40,Wayne St MI,35
Concordia-St Paul,17,Wayne St NE,14
Westminster PA,23,Waynesburg,24
Southern Virginia,3,Wesley,52
Henderson St,38,West Alabama,40
Cheyney,34,West Chester,48
West Liberty St,48,West Virginia St,26
Kentucky Christian,37,West Virginia Tech,62
Youngstown St,38,Western Illinois,40
Louisiana-Monroe,35,Western Kentucky,30
MIT,10,Western New England,27
Adams St,14,Western New Mexico,10
Coast Guard,15,Westfield St,26
North Park,7,Wheaton,52
Chapman,29,Whittier,17
Delaware Valley,30,Wilkes,18
Puget Sound,21,Willamette,52
MidAmerica Nazarene,29,William Jewell,7
St Ambrose,35,William Penn,41
Marietta,31,Wilmington,28
Tusculum,27,Wingate,33
Augustana SD,17,Winona St,0
Livingstone,0,Winston-Salem St,58
Ohio State,18,Wisconsin,31
Lakeland,9,Wisconsin Lutheran,20
Kenyon,0,Wittenberg,52
Western Carolina,14,Wofford,45
Washington U.,14,Wooster,13
Utah,30,Wyoming,6
Fordham,6,Yale,7
Arkansas-Pine Bluff,39,Alcorn St,35
Mars Hill,27,Carson-Newman,34
UCLA,13,Oregon,60
Lambuth,21,Tennessee-Martin,52
Central Conn St,30,Albany NY,27
South Florida,38,Cincinnati,30
Gettysburg,28,Dickinson,24
Fort Lewis,14,Adams St,7
Kalamazoo,31,Adrian,58
Western Michigan,56,Akron,10
Savannah St,0,Alabama St,24
St John Fisher,31,Alfred,42
Ohio Wesleyan,21,Allegheny,41
Incarnate Word,17,Angelo St,61
Norwich,81,Anna Maria,7
Washington,14,Arizona,44
Mississippi,24,Arkansas,38
Florida Atlantic,16,Arkansas St,37
Saginaw Valley St,24,Ashland,30
St Anselm,40,Assumption,45
LSU,17,Auburn,24
Concordia WI,14,Aurora,21
William Jewell,41,Avila,13
Grand View,21,Bacone,18
Graceland,12,Baker,23
Wilmington,0,Baldwin-Wallace,38
Kansas St,42,Baylor,47
Gallaudet,40,Becker,12
Monmouth IL,27,Beloit,34
Mary,22,Bemidji St,23
Maranatha Baptist,14,Benedictine IL,49
Thomas More,48,Bethany WV,14
Tabor,55,Bethel KS,7
Cumberland TN,23,Bethel TN,17
Sewanee,10,Birmingham-Southern,50
Minot St,17,Black Hills St,14
West Chester,21,Bloomsburg,45
Maryland,24,Boston College,21
Elizabeth City St,12,Bowie St,20
Kent St,30,Bowling Green,6
Wingate,44,Brevard,37
Washington and Lee,35,Bridgewater VA,34
Wyoming,20,Brigham Young,25
Rowan,35,Brockport St,27
Cornell NY,14,Brown,27
Luther,26,Buena Vista,20
Temple,42,Buffalo,0
New Jersey,48,Buffalo St,29
Morehead St,21,Butler,20
Pomona-Pitzer,7,Cal Lutheran,38
North Dakota,21,Cal Poly SLO,22
Arizona St,17,California,50
Faulkner,21,Campbellsville,22
Wittenberg,27,Carnegie Mellon,21
Eastern Oregon,34,Carroll MT,61
Wooster,14,Case Western Reserve,28
Rice,14,Central Florida,41
Loras,6,Central IA,27
Nebraska-Omaha,31,Central Missouri,34
Humboldt St,18,Central Washington,26
Millsaps,30,Centre,18
Western New Mexico,7,Chadron St,31
La Verne,28,Chapman,35
VMI,34,Charleston Southern,16
Greensboro,7,Christopher Newport,37
Whittier,27,Claremont-Mudd-Scripps,30
Edinboro,31,Clarion,14
Tuskegee,37,Clark Atlanta,10
Georgia Tech,13,Clemson,27
Stony Brook,38,Coastal Carolina,28
Holy Cross,31,Colgate,24
Texas Tech,27,Colorado,24
Dartmouth,24,Columbia,21
Lakeland,7,Concordia IL,48
Hamline,3,Concordia-Moorhead,30
Winona St,31,Concordia-St Paul,28
Benedictine KS,45,Culver-Stockton,17
Nichols,14,Curry,42
Jamestown,58,Dakota St,48
Campbell,23,Dayton,41
Anderson,7,Defiance,49
Lycoming,0,Delaware Valley,36
Wabash,55,Denison,20
Simon Fraser,15,Dixie St,18
Northwestern IA,31,Doane,23
Davidson,10,Drake,42
Mt St Joseph,54,Earlham,6
Marshall,10,East Carolina,37
Mary Hardin-Baylor,34,East Texas Baptist,28
Murray St,38,Eastern Illinois,28
Abilene Christian,53,Eastern New Mexico,14
Sacramento St,24,Eastern Washington,28
