Rank     Team                            W-L-T    Rating
308        Auburn                          0-1-0    25.7069
309        Bowling Green                   4-1-0    25.698
310        Montana St                      6-1-0    25.6765
311        Stephen F. Austin               3-2-0    25.5141
312        Carroll MT                      4-1-0    25.5042
313        Penn State                      0-1-0    25.2816
314        Temple                          2-3-0    25.2781
315        New Hampshire                   3-1-0    25.2586
316        Maryland                        0-1-0    25.204
317        Midwestern St                   4-2-0    25.1888
318        Siena Heights                   3-0-0    25.1035
319        Stephen F. Austin               4-2-0    25.0651
320        West Texas A&M                  5-1-0    25.0557
321        North Alabama                   5-0-0    24.9023
322        Mount Union                     4-0-0    24.8299
323        Troy                            0-1-0    24.7069
324        Missouri St                     0-1-0    24.6023
325        Eastern Oregon                  3-1-0    24.4711
326        Valdosta St                     4-1-0    24.4707
327        Vanderbilt                      0-2-0    24.4025
328        Michigan Tech                   5-0-0    24.3305
329        Dartmouth                       4-1-0    24.2317
330        San Diego St                    1-4-0    24.2249
331        SMU                             0-2-0    24.1433
332        James Madison                   5-1-0    24.1347
333        Ouachita Baptist                5-0-0    24.0366
334        Tennessee-Martin                2-4-0    23.9948
335        Miami OH                        2-3-0    23.933
336        Arkansas St                     2-3-0    23.9068
337        Wyoming                         3-1-0    23.9043
338        Tulane                          1-3-0    23.8333
339        Montana-Western                 4-1-0    23.8193
340        Michigan                        1-2-0    23.8019
341        Bryant                          3-1-0    23.7401
342        Wayne St MI                     4-2-0    23.7245
343        Presbyterian                    4-1-0    23.5805
344        Johns Hopkins                   5-0-0    23.5588
345        Wake Forest                     2-2-0    23.5087
346        Richmond                        3-2-0    23.4594
347        Kentucky                        0-3-0    23.4084
348        Morgan St                       4-0-0    23.3336
349        Missouri St                     2-2-0    23.2828
350        Yale                            5-1-0    23.2708
351        Tulane                          0-1-0    23.2254
352        Illinois                        0-4-0    23.1648
353        Tarleton St                     4-2-0    23.1616
354        St Xavier                       5-0-0    23.0242
355        Syracuse                        0-1-0    22.9046
356        Ball St                         1-4-0    22.8825
357        Harding                         4-1-0    22.7172
358        Samford                         2-2-0    22.6698
359        New Mexico St                   1-4-0    22.6352
360        Florida Int'l                   3-4-0    22.5313
361        Samford                         5-1-0    22.4956
362        Eastern Michigan                2-1-0    22.2963
363        North Carolina St               0-1-0    22.2506
364        Lenoir-Rhyne                    5-0-0    22.1641
365        Western Illinois                2-2-0    22.0286
366        Charleston WV                   4-1-0    22.0086
367        Lamar                           2-1-0    21.9726
368        Siena Heights                   2-0-0    21.9454
369        Texas-San Antonio               1-3-0    21.8945
370        North Carolina A&T              5-0-0    21.8758
371        Wartburg                        5-0-0    21.8065
372        Toledo                          2-3-0    21.7574
373        Delaware                        2-2-0    21.6959
374        Air Force                       3-2-0    21.6589
375        California PA                   5-0-0    21.5327
376        Carson-Newman                   4-1-0    21.4881
377        Tennessee St                    4-3-0    21.3667
378        Colorado St-Pueblo              5-1-0    21.3264
379        San Jose St                     1-3-0    21.3249
380        John Carroll                    6-0-0    21.2797
381        Texas St-San Marcos             2-3-0    21.2324
382        Walsh                           3-2-0    21.2158
383        Idaho St                        2-4-0    21.1151
384        Louisiana-Lafayette             0-1-0    21.0973
385        Adams St                        0-1-0    20.9728
386        North Carolina A&T              4-1-0    20.9054
387        Charleston WV                   4-2-0    20.8483
388        Fresno St                       1-4-0    20.8123
389        Walsh                           0-1-0    20.7381
390        Ohio U.                         0-1-0    20.7217
391        Old Dominion                    3-2-0    20.6582
392        Montana St                      2-2-0    20.6421
393        Azusa Pacific                   6-0-0    20.5931
394        Grand View                      5-0-0    20.5906
395        South Carolina St               0-2-0    20.4993
396        Mary Hardin-Baylor              4-0-0    20.4731
397        Delaware                        0-1-0    20.4341
398        Old Dominion                    1-4-0    20.4195
399        Massachusetts                   0-1-0    20.3173
400        Sacred Heart                    5-2-0    20.3127
401        Bucknell                        3-1-0    20.2491
402        Missouri                        0-1-0    20.0862
403        Virginia                        0-4-0    20.0788
404        South Carolina St               4-1-0    19.9436
405        SMU                             0-3-0    19.8862
406        North Texas                     0-1-0    19.8707
407        Texas                           0-2-0    19.8567
408        Jacksonville St                 0-1-0    19.7974
409        Truman St                       3-0-0    19.7948
410        St John Fisher                  3-1-0    19.6918
411        Bucknell                        5-1-0    19.6869
412        Newberry                        3-2-0    19.6631
413        UC-Davis                        0-1-0    19.5888
414        Army                            0-1-0    19.5888
415        Heidelberg                      5-0-0    19.5203
416        Mary Hardin-Baylor              6-0-0    19.4355
417        Troy                            2-3-0    19.4311
418        Alabama St                      5-1-0    19.4177
419        Eastern Illinois                3-1-0    19.3963
420        South Dakota                    0-1-0    19.3488
421        Southern U.                     5-1-0    19.3141
422        Linfield                        5-0-0    19.3045
423        Shepherd                        4-1-0    19.2855
