Rank     Team                            W-L-T    Rating
252        Haskell                         0-1-0    -20.0
253        Marion                          0-1-0    -20.0
254        Gallaudet                       0-1-0    -20.0
255        Wofford                         0-1-0    -20.0
256        St. Joseph's (Pennsylvania)     0-1-0    -20.0
257        Brown                           1-2-0    -20.4286
258        Southwestern (Texas)            0-1-0    -21.0
259        Standifer Shipbuilders          0-1-0    -21.0
260        Sewanee                         0-1-0    -21.0
261        Colorado State                  0-1-0    -21.0
262        Lieutenants                     0-1-0    -21.0
263        Case                            0-2-0    -21.25
264        Ohio Wesleyan                   0-1-0    -21.25
265        Denison                         0-1-0    -21.25
266        Loyola Academy                  0-1-0    -21.75
267        Kansas State                    0-1-0    -22.0
268        Lafayette                       0-3-0    -22.5
269        Colorado College                0-1-0    -23.0
270        Fort Lewis                      0-1-0    -23.0
271        Tulsa                           0-1-0    -24.0
272        Virginia Military Institute     0-2-0    -24.0
273        Fort Lewis                      0-1-0    -24.0
274        Baylor                          0-1-0    -24.0
275        Indiana                         0-1-0    -24.0
276        Mare Island Marines             0-1-0    -24.0
277        Westminster (Missouri)          0-1-0    -24.3333
278        San Pedro Navy                  0-1-0    -24.8
279        Auburn                          0-3-0    -25.0
280        Georgetown (Kentucky)           0-1-0    -25.0
281        St. Thomas                      0-1-0    -25.0
282        Fort Oglethorpe                 0-1-0    -25.0
283        Mather Field                    0-1-0    -25.0
284        Coe                             0-1-0    -25.0
285        Omaha Balloon                   0-1-0    -26.0
286        Wichita State                   0-1-0    -26.0
287        St. Louis                       0-1-0    -26.0
288        Cornell (Iowa)                  0-1-0    -26.0
289        Denver                          0-1-0    -26.2381
290        Camp Logan                      0-1-1    -26.2381
291        Missouri-Rolla                  0-2-0    -26.3333
292        Drake                           0-1-0    -26.3333
293        th Infantry                     0-2-0    -26.5
294        Central Oklahoma                0-1-0    -27.0
295        Kansas                          0-1-0    -27.0
296        Bailey Military                 0-1-0    -27.0
297        Norwich                         0-1-0    -27.0
298        Washburn                        0-1-0    -27.0
299        Wofford                         0-2-0    -27.6471
300        Beloit                          0-1-0    -28.0
301        North Carolina State            0-1-0    -28.0
302        Fort Riley                      0-1-0    -28.0
303        Stanford                        0-2-0    -28.6
304        Camp Sevier                     0-1-0    -28.7059
305        Furman                          1-2-0    -28.7059
306        th Cavalry                      0-1-0    -28.7059
307        North Carolina State            0-2-0    -28.7059
308        Wisconsin                       0-1-0    -28.75
309        Austin                          0-2-0    -29.0
310        Dartmouth                       0-2-0    -29.0
311        Hillsdale                       0-1-0    -29.4286
312        Auburn                          0-2-0    -30.0
313        Baker                           0-2-0    -30.0
314        Clemson                         0-1-0    -30.0
315        Camp Gordon                     0-1-0    -30.0
316        Camp Humphreys                  0-1-0    -30.7059
317        Wake Forest                     0-2-0    -30.7059
318        St. Mary's                      0-1-0    -30.8
319        League Island Navy              0-1-0    -31.0
320        Knox                            0-1-0    -31.0909
321        Belmont A.C.                    0-1-0    -31.7059
322        St. Joseph's (Pennsylvania)     0-1-0    -31.75
323        North Texas                     0-1-0    -32.0
324        Stanford                        0-2-0    -32.8
325        Southern California             0-1-0    -33.0
326        Middlebury                      0-1-0    -33.0
327        U.S. Marines                    0-1-0    -33.0
328        Muhlenberg                      0-1-0    -33.5
329        Purdue                          0-1-0    -34.0
330        Oklahoma State                  0-1-0    -34.0
331        St. Mary's                      0-1-0    -34.0
332        Oglethorpe                      0-1-0    -35.0
333        Kansas                          0-1-0    -35.0
334        Tennessee                       0-1-0    -35.0
335        Camp Baker                      0-1-0    -35.0
336        Newport NTS                     0-1-0    -35.0
337        St. Helena NTS                  0-1-0    -35.0
338        Scott Field                     0-1-0    -35.0
339        Foundation                      0-1-0    -35.0
340        Guilford                        0-1-0    -35.0
341        Post Field                      0-1-0    -35.0
342        Sewanee                         0-1-0    -35.0
343        Vancouver Barracks              0-1-0    -35.0
344        Morgan                          0-1-0    -35.0
345        Tulsa                           0-1-0    -35.0
346        Fort Des Moines                 0-1-0    -35.0
347        Kentucky                        0-1-0    -35.0
348        Carleton-St. Olaf               0-1-0    -35.0
349        Drake                           0-1-0    -35.0
350        Texas State                     0-1-0    -35.0
351        Goat Island Navy                0-1-0    -35.0
352        Camp Perry                      0-1-0    -35.0
353        Howard Payne                    0-1-0    -35.0
354        Camp Sherman                    0-1-0    -35.0
355        Norfolk Navy                    0-1-0    -35.0
356        Overland Station                0-1-0    -35.0
357        Central Oklahoma                0-1-0    -35.0
358        Des Moines                      0-1-0    -35.0
359        Dartmouth                       0-1-0    -35.0
360        Idaho                           0-1-0    -35.0
361        Fremont Ammuntion               0-1-0    -35.0
362        Arkansas                        0-1-0    -35.0
363        USS Minnesota                   0-1-0    -35.0
364        Lafayette                       0-1-0    -36.0
365        Franklin & Marshall             0-1-0    -39.75
366        Ursinus                         0-3-0    -43.75
367        Hoboken Navy                    0-1-0    -43.75
368        Tufts                           0-1-0    -44.4286
