Rank     Team                            W-L-T    Rating
330        Mary Hardin-Baylor              7-0-0    22.661
331        Utah                            0-2-0    22.6568
332        Alfred                          3-0-0    22.6073
333        Central Missouri                4-1-0    22.5699
334        Buffalo                         1-3-0    22.568
335        New Hampshire                   4-1-0    22.5216
336        Shepherd                        5-0-0    22.4867
337        San Diego St                    0-1-0    22.4564
338        Howard                          6-0-0    22.3344
339        Winston-Salem St                5-0-0    22.3102
340        Texas-San Antonio               4-2-0    22.2419
341        Western Illinois                2-0-0    22.1243
342        Valdosta St                     7-1-0    22.1207
343        Minnesota                       2-4-0    22.0552
344        Duke                            0-1-0    22.003
345        Murray St                       0-1-0    22.003
346        Boston College                  0-1-0    22.003
347        UTEP                            2-2-0    21.8157
348        Ferris St                       2-3-0    21.7705
349        Cal Poly SLO                    4-3-0    21.7059
350        Wofford                         0-3-0    21.6279
351        Youngstown St                   5-1-0    21.4957
352        Findlay                         3-2-0    21.4668
353        Linfield                        7-1-0    21.4603
354        Montana                         3-2-0    21.4594
355        Southern Cal                    0-1-0    21.3912
356        UTEP                            0-2-0    21.2569
357        UTEP                            1-5-0    21.2157
358        Carson-Newman                   5-1-0    21.2029
359        SE Louisiana St                 3-2-0    21.131
360        Dayton                          4-1-0    21.1015
361        Washington                      0-1-0    21.0741
362        Bethune-Cookman                 5-2-0    21.0667
363        Mercyhurst                      5-0-0    21.0588
364        Western Illinois                1-1-0    20.9535
365        North Dakota                    4-2-0    20.9365
366        Stony Brook                     3-3-0    20.9006
367        Northern Iowa                   2-4-0    20.9002
368        Southern Arkansas               3-2-0    20.8822
369        South Dakota                    1-3-0    20.8748
370        Emporia St                      5-1-0    20.8185
371        Lamar                           4-1-0    20.7667
372        Delaware                        4-2-0    20.6458
373        NW Missouri St                  4-2-0    20.5715
374        Wyoming                         3-3-0    20.3812
375        Northern Arizona                3-2-0    20.3539
376        Salisbury                       5-0-0    20.3526
377        Colorado St                     0-2-0    20.3375
378        Arizona                         0-1-0    20.3151
379        UW-Oshkosh                      7-0-0    20.2845
380        Southern Utah                   3-2-0    20.2399
381        Jacksonville St                 0-1-0    20.2345
382        Richmond                        4-1-0    20.1858
383        Bemidji St                      2-1-0    20.0968
384        Alabama-Birmingham              0-1-0    20.0376
385        Georgia                         0-1-0    20.0376
