Rank     Team                            W-L-T    Schedule Factor
305        Rocky Mountain                  0-1-0    29.2582
306        Delaware                        0-1-0    29.2332
307        Idaho                           0-5-0    29.1913
308        Fresno St                       3-2-0    28.9509
309        Akron                           1-3-0    28.7407
310        Southern Utah                   0-6-0    28.6889
311        Tulsa                           2-2-0    28.6786
312        Florida Atlantic                3-1-0    28.411
313        Brigham Young                   3-2-0    28.2503
314        Norfolk St                      0-2-0    28.1895
315        Western Illinois                2-2-0    28.0286
316        Grambling St                    0-1-0    28.0158
317        Florida St                      5-0-0    27.8976
318        Northwestern St                 3-2-0    27.7854
319        Texas St-San Marcos             3-2-0    27.7543
320        Buffalo                         4-2-0    27.7497
321        Eastern Michigan                0-4-0    27.7317
322        Northern Illinois               4-1-0    27.6788
323        Boston College                  4-0-0    27.5634
324        McNeese St                      2-2-0    27.5611
325        Northwestern                    0-1-0    27.5558
326        Middle Tennessee St             4-0-0    27.5064
327        Stony Brook                     0-1-0    27.494
328        Temple                          2-3-0    27.4781
329        South Dakota Tech               0-1-0    27.361
330        Toledo                          2-3-0    27.3574
331        Dickinson                       0-1-0    27.3127
332        Southern Illinois               2-3-0    27.3008
333        Northern Iowa                   3-3-0    27.1691
334        Colorado St                     5-0-0    27.1462
335        Florida Atlantic                0-4-0    27.0322
336        Massachusetts                   1-3-0    26.9491
337        Mississippi                     2-0-0    26.9474
338        McMurry                         0-1-0    26.9155
339        Ohio U.                         1-3-0    26.877
340        Central Florida                 5-0-0    26.8745
341        Missouri                        4-1-0    26.8521
342        Illinois St                     3-1-0    26.8452
343        Arkansas St                     2-3-0    26.7068
344        South Dakota St                 4-1-0    26.6636
345        Incarnate Word                  0-3-0    26.5946
346        Georgia Tech                    5-1-0    26.5459
347        Georgia St                      0-4-0    26.4538
348        Furman                          0-1-0    26.4238
349        Wisconsin                       2-2-0    26.3854
350        Maine                           2-1-0    26.1371
351        Troy                            1-4-0    25.8749
352        Indiana St                      4-2-0    25.8657
353        San Jose St                     2-2-0    25.7108
354        Louisiana Tech                  3-1-0    25.7094
355        Ball St                         2-3-0    25.6943
356        Houston                         0-1-0    25.6484
357        Wayne St MI                     0-1-0    25.6212
358        Tiffin                          0-1-0    25.6212
359        Coe                             0-1-0    25.5604
360        Valparaiso                      0-1-0    25.5293
361        Baylor                          4-0-0    25.5079
362        North Dakota                    0-2-0    25.4304
363        Samford                         2-2-0    25.4198
364        Iowa                            4-1-0    25.4164
365        Army                            0-1-0    25.4128
366        Lake Erie                       2-4-0    25.3924
367        UNLV                            2-3-0    25.3446
368        Columbia                        0-1-0    25.151
369        Louisiana-Monroe                3-2-0    25.1385
370        VMI                             0-3-0    25.1352
371        Central Arkansas                1-4-0    25.124
372        Idaho St                        2-4-0    25.1151
373        Colorado Mesa                   0-1-0    25.0804
374        Western New Mexico              0-1-0    25.0804
375        Austin Peay                     0-6-0    24.9195
376        Western Illinois                2-3-0    24.8832
377        Duke                            4-1-0    24.5261
378        Hawai`i                         1-4-0    24.4328
379        Illinois St                     6-0-0    24.4026
380        St Francis IN                   0-1-0    24.3445
381        Texas St-San Marcos             2-3-0    24.2324
382        Alabama St                      0-1-0    24.0762
383        Cal Poly SLO                    2-4-0    24.0725
384        Alderson-Broaddus               0-1-0    24.0228
385        Buffalo                         0-4-0    23.9071
386        New Mexico                      3-2-0    23.8069
387        Wake Forest                     2-2-0    23.7587
388        North Dakota St                 5-0-0    23.5949
389        SW Baptist                      0-1-0    23.5487
390        Coastal Carolina                4-0-0    23.5019
391        Delaware St                     0-3-0    23.3751
392        Florida A&M                     0-2-0    23.28
393        VMI                             0-4-0    23.2729
394        Wofford                         1-5-0    23.2401
395        Ashland                         3-2-0    23.2203
396        Montana Tech                    1-4-0    23.2041
397        Northern Illinois               4-1-0    23.1994
398        Millsaps                        0-1-0    23.1894
